Table 6 19: Cost estimate of minor irrigation-related proposals with locations,,,,,
GND No.,Scheme,Problem to be addressed /Recommendations,N,E,Estimated Cost
1047,Appallawala canal 1,Seepages towards the field side. (23 Acres). Recommend 1. Repairs to concrete wall by cracks filling (2 cum of grade 25 concrete and puddle clay 1 cum) 2. D/S Earth filling of strip of 1.5m -2m wide and 200m in length and average depth of 1m and side slope protection with vetiver grass and areca nut single row.,7.167092,80.718394,"442,200"
1047,Appallawala canal 2,The drainage crossing is subsiding. (W- 0.6m). Recommended to construct drainage under crossing with a garbage trap and slot for canal over flow. Under crossing size 600mm Dia pipes with a down stream basin to collect spilling water as well.,7.166567,80.719884,"192,500"
1047,Amunumunna canal,"The canal is subsiding. (L- 6m).(6 acres). Recommend to construct RCC rectangular aqueduct (125mm thick, 0.3m wide, and 0.3m high, and 8m long) structure on 3 nos of RCC piers on firm ground.",7.166722,80.717956,"167,600"
1047,Appallawala canal 3,"Seepages from the canal towards the field side. (L- 200m). Recommended earth filling of strip of 1.5m to 2m wide and 200m in length and average Depth of 0.5m and side slope protection with vetiver grass or edible plants like Mukunuwenna, Thampala, Gotukola etc with areca nut fencing for about 400 Sq.m.",7.165249,80.721435,"179,100"
1047,Mee Gahayata canal 1,"Seepages towards the field side.(28 Acres). Recommended earth filling of strip of 1.5m to 2m wide and 600m in length and average Depth of 0.5m and side slope protection with vetiver grass or edible plants like Mukunuwenna, Thampala, Gotukola etc with areca nut fencing for about 1200 Sq.m.",7.164809,80.72158,"358,200"
1047,Mee Gahayata canal 2,"•The canal is eroding to the stream. Recommended 1. Earth filling of strip of 1.5m to 2m wide and 100m in length and average Depth of 0.5m and side slope protection with vetiver grass or edible plants like Mukunuwenna, Thampala, Gotukola etc with areca nut fencing for about 200 Sq.m. 2. Construct 900mm high x150mm thick down stream retaining walls and basin with RCC concrete (2.2 cum).3. Back fill after construction",7.164618,80.721779,"196,250"
1034,Canal near the Wetakepotha church,"A part of the canal is not concrete lined. (L- 250m).(12 Acre) Recommend 1. To excavate and remove excess earth and vegetation 2. Maintain the canal profile 3.Earth filling of strip of 1.5m to 2m wide and 200m in length and average Depth of 0.5m and side slope protection with vetiver grass or edible plants like Mukunuwenna, Thampala, Gotukola etc with areca nut fencing for about 400 Sq.m.",7.174512,80.717577,"205,000"
1034,Rawana Kotuwa canal,"A part of the canal is not concrete-lined. (L- 360m). (Acreage not known). Highly recommended earth filling of a strip of 1.5m minimum width and 250m in length and average Depth of 0.5m and side slope protection with vetiver grass or edible plants like Mukunuwenna, Thampala, Gotukola, etc. with areca nut fencing for about 500 Sq.m.",7.175072,80.718171,"224,900"
1034,Ambagahakotuwa canal,"A part of the canal is not concrete lined. (L- 200m)(7 Acre).Recommended earth filling of strip of 1.5m wide and 200m in length and average Depth of 0.5m and side slope protection with vetiver grass or edible plants like Mukunuwenna, Thampala, Gotukola etc with areca nut fencing for about 400 Sq.m.",7.17264,80.71452,"179,900"
,Total cost,,,,"LKR 16,353,950"
