Table 6 16: Total Cost Estimate for Stream Reservation Proposals,,,,,
GND No.,Scheme,Problem to be addressed / Recommendation,N,E,Estimated Cost
981,"Maldeniya Kandura, Dunali road","Soil erosion of lands on both sides. Recommend 1. Construct 1mx1mx 100m long leader drain with drops. 2.Plant two rows of areca nut seedlings, Gliricidia and pepper/ betel creepers for a distance of 100m.",7.20726,80.65554,"247,000"
981,Kithulmulla stream,"Soil erosion of lands on both sides is about 3km. Recommend 1. to construct (SABO) boulder rubble dams six numbers or more across the stream (Size 3m x 2mx 1m) with gabion boxes. 2. To plant two rows of areca nut seedlings, Gliricidia, and pepper/ betel creepers for a distance of 1600m mixed with riparian plants.",7.21857,80.64946,"916,000"
981,Galaha Oya,"Bank erosion on lands on both sides is about 750m. Recommend dense planting of mixed vegetation comprising Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval. 2. Apply mulching, organic manure and NPK fertilizer. 3. Introduction of Bamboo, Vetiver grass, and riparian plants. Covered area 1500 m2.",7.20239,80.66243,"801,000"
979,Little Weliya Janapada Kandura 1,Soil erosion of lands on both sides and canal bed due to high slope. Recommend 1mx 1m x 200m length of leader drains.,7.1765,80.68487,"400,000"
979,Heidiwaththa Kandura,Soil erosion of lands on both sides and discarding domestic waste by nearby settlements. Recommend 1. To conduct public awareness and organize a waste management program. 2. To provide hybrid coconut and graft fruit seedlings at concessionary rates for dwellers to grow along the stream edges.,7.17931,80.68466,"70,000"
979,Torrent from Araliyagama spring,"Soil erosion of lands on both sides. Recommend to plant two rows of areca nut seedlings, Gliricidia and pepper/ betel creepers for a distance of 200m.",7.18023,80.69114,"94,000"
976,Torrent near Uda Deltota,"Soil erosion of lands on both sides. Recommend 1. Construct 1mx1mx 50m long leader drain with drops. 2.Plant two rows of areca nut seedlings, Gliricidia and pepper/ betel creepers for a distance of 100m mixed with riparian plants.",7.20211,80.67303,"147,000"
976,Gallanthenna Oya,"Bank erosion on both sides about 1200m. 1. to construct (SABO) boulder rubble dams two numbers across the stream (Size 3m x 2mx 1m) with gabion boxes. 2. To plant two rows of areca nut seedlings, Gliricidia and pepper/ betel creepers for a distance of 600m mixed with riparian plants.",7.19417,80.68571,"462,000"
976,Torrent near the Galaha Hospital,"Soil erosion of lands on both sides. Recommend 1. Construct 1mx1mx 100m long leader drain with two or drops. 2.Plant two rows of areca nut seedlings, Gliricidia and pepper/ betel creepers for a distance of 200m.",7.19351,80.67614,"294,000"
976,Kumarakanda Kandura,Bank erosion on both sides. Plant Vetiver grass on both sides about 50m.,7.19132,80.67665,"4,000"
976,Nutson Kotasa Kandura,"Bank erosion on both sides. Recommend to plant two rows of areca nut seedlings, Gliricidia and pepper/ betel creepers for a distance of 100m.",7.19567,80.67803,"47,000"
976,Torrent 1 from Gallanthenna Janapadaya,"Bank erosion on both sides. Plant two rows of areca nut seedlings, Gliricidia and pepper/ betel creepers for a distance of 300m and grow riparian plants ",7.1958,80.68187,"141,000"
976,Galpihilla Kandura,"Soil erosion of lands on both sides. Recommend 1. Construct 1mx1mx 150m long leader drain with two or drops. 2.Plant two rows of areca nut seedlings, Gliricidia and pepper/ betel creepers for a distance of 200m.",7.1945,80.68562,"347,000"
976,Galaha Oya,"Bank erosion on both sides. Recommend 1. Make dense planting of mixed vegetation comprising Areca nut trees / Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/ Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure, and NPK fertilizer. 3. Introduction of riparian plants within water holes. Covered area 500 m2.",7.20257,80.66972,"267,000"
976,Galaha Oya,"Meandering the stream due to the collapsing of embankments and islands formed the middle of the stream. Recommend.
1. To remove soil deposits and fill the embankment using excavated material, and fill the embankment in a mild slope.
2. Plant bamboo, Areca nut, Kumbuk, and Vetiver grass rows for a total distance of 300 m on both sides.",7.20243,80.67184,"190,500"
976,Palugama Oya,"Bank erosion on both sides. Recommend 1: Make dense planting of mixed vegetation comprising Areca nut/ Kumbuk/ Mee / Godapara / Kaduru/ Aththikka/ Wal del/Kekuna randomly mixed seedlings at 500 mm grid intervals.
2. Apply mulching, organic manure and NPK fertilizer. 
3. Introduction of riparian plants within water holes. Covered area 400 m2.",7.20133,80.67214,"213,600"
976,Torrent 1 from Galaha,"Bank erosion on both sides. Recommend 1. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. 3. Introduction of riparian plants within water holes. Covered area 300 m2.",7.19747,80.67455,"160,200"
976,Torrent 2 from Galaha,"Bank erosion on both sides and waste flowing with the water from the city. Recommend 1. Make dense planting of mixed vegetation comprising Areca nut trees Kumbuk / Mee / Godapara / Kaduru / Aththikka / Wal del / Kekuna randomly mixed seedlings at 500 mm grid interval.
2. Apply mulching, organic manure and NPK fertilizer. 
3. Introduction of riparian plants within water holes. Covered area 500 m2. 
4. Construct drainage undercrossing structure with 600mm Dia concrete pipe and debris trap using a gabion box.",7.19809,80.67154,"320,000"
,Total cost,,,," LKR 9,286,300"
