Table 6 1: Key activities proposed for soil and water conservation in MWS-003,,,,,,,,,,,,,,
No. ,GND No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,Sub Item No. ,N or X,E or Y,Quantity,Proposed measure/s,Uniti Cost (Rs.),Total Cost (Rs.),Total Cost,"Contribution (Local Community, LA, and the project)",Time frame for the implementation
,,,"2. Soil and water conservation in Ginihiriyawaththe/Home Garden, 70°",5,1,7.15454,80.39774,10 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"2,500,000.00",,Labour and other basic services by the Local community,0.5 Years
,,,"3. Soil and water conservation in Wathuliyadda/Home Garden, 65°",3,1,7.15388,80.38528,3 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"750,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,"4. Wewekele Imbulathenna/Home Garden, 85°/85°/90°",5,1,"7.15476271, 7.1545767, 7.1546460","80.64778, 80.3852, 80.3852921",15 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"3,750,000.00",,Labour and other basic services by the Local community,0.5 Years
,,,"5. Stone terracing in N. Premachandra, Wathuliyadda, 70°",1,1,7.15425,80.39074,0.5 ha,Live fencing/SALT,250.00 m-1,"125,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,"6. Establishing a Retaining Wall, M.G. Weerathunga, 65°",5,1,7.15381,80.38532,10 m x 3 m,Retaining Wall using stones,"2,000.00 m-2","60,000.00",8335000,Labour and other basic services by the Local community,0.25 Years
9,954,Uduwela waththa,1. Development of five (05) Leader Drains,1,1,"7.25726, 7.25707, 7.25692","80.63435, 80.63318, 80.63315",12.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"1,250,000.00",,Labour and other basic services by the Local community/ Shramadana,1 Year
,,,,5,2,"7.15235, 7.15232","80.37582, 80.37579",,,,,,,
,,,,1,3,7.15229,80.3815,,,,,,,
,,,,3,4,7.15189,80.38323,,,,,,,
,,,,1,5,7.15108,80.38103,,,,,,,
,,,"2. Establishment of Retaining Wall (Mr. Chaminda Wijekoon, Uduwelwatte), 70°",4,1,7.15137,80.387,7 m x 6 m,Retaining Wall using stones,"2,000.00 m-2","84,000.00",1334000,Guidance by NRMC ,0.25 Years
10,955,Galthenna,1. Renovation of four (04) Leader Drains,1,1,7.25681,80.64975,2.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"250,000.00",,Labour and other basic services by the Local community/ Shramadana,1 Year
,,,,1,2,7.25552,80.64779,,,,,,,
,,,,1,3,7.25499,80.64793,,,,,,,
,,,,1,4,7.15239,80.38417,,,,,,,
,,,2. Establishing a Retaining Wall for Gorakagahamadithtgha Ela,1,1,7.15121,80.3855,16 m x 4 m,Retaining Wall using stones,"2,000.00 m-2","128,000.00",,Guidance by NRMC ,0.25 Years
,,,3. Establishing a Retaining Wall 2 (Galthenne Junior School),5,1,"7.15226, 7.15226","80.38436, 80.38437",22 m x 2 m,Retaining Wall using stones,"2,000.00 m-2","88,000.00",,Funds by the Project,0.25 Years
,,,"4. Soil and water conservation measures in Home Gardens/Galthenna, 55°",3,1,"7.15243, 7.15253","80.38408, 80.38466",12.5 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"3,125,000.00",3591000,Labour and other basic services by the Local community,0.5 Years
11,962,Nehiniwela,1. Rennovation of eleven (11) Leader Drains ,5,1,7.15128,80.39563,16.7 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"1,670,000.00",,Labour and other basic services by the Local community/ Shramadana,1.5 Years
,,,,4,2,7.25278,80.66694,,,,,,,
,,,,4,3,7.25361,80.66507,,,,,,,
,,,,5,4,7.1518,80.40622,,,,,,,
,,,,5,5,"7.14574, 7.24914","80.40758, 80.66873",,,,,,,
,,,,2,6,7.15105,80.39573,,,,,,,
,,,,1,7,7.15238,80.40437,,,,,,,
,,,,1,8,7.1519,80.40275,,,,,,,
,,,,3,9,7.15205,80.40156,,,,,,,
,,,,1,10,7.25526,80.66948,,,,,,,
,,,,3,11,7.25587,80.67012,,,,,,,
,,3,"2. Soil and water conservation measures in home gardens, Nahiniwela, 70 - 80° slope",4,1,"7.25037, 7.15344, 7.25135, 7.15126, 7.15179","80.66929, 80.40057, 80.66653, 80.39549, 80.40689",16 ha,Live fencing/SALT,250.00 m-1,"4,000,000.00",,Labour and other basic services by the Local community,1 Year
,,,"3. Soil and water conservation measures in waste lands, Nahiniwela, 80° slope",4,1,7.25057,80.66874,3 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,200,000.00",,Labour and other basic services by the Local community,0.5 Years
,,,"4. Preparation of Drain at the middle of village/Raod, Nehiniwela",4,1,7.25073,80.66754,1.5 km x 0.5 m x 0.5 m ,Drain,400.00 m-1,"150,000.00",,,0.25 Years
,,,"5. Soil and water conservation measures, Dewagolla Waththa (30 - 60°)",4,1,7.15237,80.40912,24 ha,"Live fencing/SALT - 15 ha
Stone terracing - 5 ha
Lock and Spills - 4 ha","250.00 m-1
2,500.00 m-1
400.00 m-1","3750000
12500000
1600000",24870000,Labour and other basic services by the Local community,2 Years
12,963,Godampitiya,1. Stream bank conservation with side walls in Thalathuoya 1,3,1,7.25338,80.66935,"0.5 km x 3 m 
2 km","Side walls
Clearing and planting some trees along the banks (Areca nut) and other conservation practices","2,000.00 m-3","3000000
200000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
,,,2. Stream bank conservation with side walls in Thalathuoya 2,5,1,7.25288,80.67251,0.2 km x 6 m x 1 m,Side walls,"2,000.00 m-3","2,400,000.00",,Guidance by NRMC ,0.25 Years
,,,3. Rennovation of Leader Drain 1,3,1,7.725021,80.67399,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
,,,4. Rennovation of Leader Drain 2,4,1,7.24982,80.67545,1.2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"120,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
,,,5. Rennovation of Leader Drain 3,3,1,7.2498,80.67564,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000.00",6120000,Labour and other basic services by the Local community/ Shramadana,0.5 Years
13,964,Puliyadda,1. Renovation of three (03) Leader Drains,2,1,7.14365,80.39217,5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"500,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
,,,,1,2,7.24147,80.65469,,,,,,,
,,,,4,3,7.23766,80.65795,,,,,,,
,,,2. Establishment of Leader Drain/Uranhervuma Ela,1,1,7.24069,80.39103,0.3 km x 1 m x 1 m,Leader Drain,"3,000.00 m-3","900,000.00",,Guidance by NRMC ,0.25 Years
,,,"3. Soil and water conservation measures in Puliyadda H.M.K.B. Herath and others, 45°",1,1,"7.14350, 7.14152, 7.14131","80.39255, 80.39257, 80.39257",16 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"4,000,000.00",,Funds by the Project,"0.5 Years
0.5 Years"
,,,4. Soil and water conservation measures in Hedansak Estate (30 - 60°),1,1,7.23647,80.45458,"2.5 ha
4 ha","Lock and Spills
Live fencing/SALT","400.00 m-1
250.00 m-1","2.5*1000*400
1000000",6400000,,0.25 Years
14,966,Ethulgama West ,1. Rennovation of five (05) Leader Drains,1,1," 1027045, 1027088, 1027121 "," 6244636, 6244593, 6244573 ",9 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"900,000.00",,Labour and other basic services by the Local community/ Shramadana,1.5 Years
,,,,5,2," 1027076, 1027101 "," 6244680, 6244652 ",,,,,,,
,,,,2,3,"1027141, 1027270","6244684, 6244591",,,,,,,
,,,,3,4," 1027188, 1027220 "," 6244738, 6244622 ",,,,,,,
,,,,4,5," 1027049, 1027171, 1027280, 1027334 "," 6244982, 6244788, 6244759, 6244678 ",,,,,,,
,,,2. Establishing a Retaining Wall 1 (Ingurugolla New),1,1,"1,027,084","6,244,608",100 m x 3 m,Retaining Wall using stones,"2,000.00 m-2","600,000.00",,Guidance by NRMC ,0.5 Years
,,,3. Establishing a Retaining Wall 2 (Wehigaldeniya Ela and Kumbura),1,1,"1,027,241","6,244,385",200 m x 3 m,Retaining Wall using stones,"2,000.00 m-2","1,200,000.00",,Funds by the Project,0.5 Years
,,,4. Soil and water conservation measures in Ingurugolla Watte (35°),2,1,"1,027,087","6,244,902",1 ha,"Stone terracing
Live fencing/SALT","2,500.00 m-1
250.00 m-1","2500000
250000",,,0.5 Years
,,,5. Soil and water conservation measures (Ingurugolla New) (35 - 70°),Needed,1,Scattered,,8 ha,"Lock and spills - 3 ha 
Stone terracing - 2 ha
Live fencing/SALT - 3 ha","400.00 m-1
2,500.00 m-1
250.00 m-1","1200000
5000000
750000",,Labour and other basic services by the Local community,0.5 Years
,,,6. Soil and water conservation measures (Ingurugolla Old) (35 - 70°),Needed,1,Scattered,,4 ha,"Stone terracing - 2 ha
Live fencing/SALT - 2 ha","2,500.00 m-1
250.00 m-1","5000000
500000",,Labour and other basic services by the Local community,0.25 Years
,,,7. Soil and water conservation measures (Wehigaldeniya Ihalawatte) (35 - 70°),Needed,1,Scattered,,16 ha,"Stone terracing - 3 ha
Live fencing/SALT - 10 ha
Lock and spills - 3 ha","2,500.00 m-1
250.00 m-1
400.00 m-1","7500000
2500000
1200000",27900000,Labour and other basic services by the Local community,1.5 Years
15,967,Ethulgama North,1. Rennovation of eight (08) Leader Drains,4,1,1025896,6244636,29 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"2,900,000.00",,Labour and other basic services by the Local community/ Shramadana,1.5 Years
,,,,4,2,1025882,6244489,,,,,,,
,,,,2,3,1026336,6244399,,,,,,,
,,,,2,4,1026493,6244361,,,,,,,
,,,,2,5,1026732,6244307,,,,,,,
,,,,2,6,1026758,6244365,,,,,,,
,,,,1,7,1027064,6244338,,,,,,,
,,,,1,8,1027191,6244317,,,,,,,
,,,2. Retaining Wall (Nikalanda Well),2,1,1026727,6244361,25 m x 4 m,Retaining Wall using stones,"2,000.00 m-2","200,000.00",,Guidance by NRMC ,0.25 Years
,,,3. Soil and water conservation/Overall  (35 - 70°),Needed,1,Scattered,,8 ha,Lock and spills - 2 ha,400.00 m-1,"800,000.00",,Funds by the Project,0.5 Years
,,,,,,,,,Stone terracing - 2 ha,"2,500.00 m-1","5,000,000.00",,,
,,,,,,,,,Live fencing/SALT - 4 ha,250.00 m-1,"1,000,000.00",9900000,,
,,,,,,,,,Grand Total,,"120,777,500",120777500,,
