Table 6 20: Total Cost Estimate for Stream Reservation Proposals,,,,,
GND No.,Scheme,Problem to be addressed / Recommendation,N,E,Estimated Cost
959,Thaniwatte kandura 1,"Embankment erosion along 1.9km length. Recommend to 1. Public awareness 2. Creating a single row of areca nut trees and mixed dense plantation of Mee, Kumbuk, Godapara, Kekuna, etc. for a 3m wide and about 1.9km long reservation on both sides",7.243992,80.688951,545000
959,Thaniwatte kandura 2,"Embankment erosion along 1.2km length. Recommend to 1. Public awareness 2. Creating a single row of areca nut trees and mixed dense plantation of Mee, Kumbuk, Godapara, Kekuna, etc. for a 3m wide and about 1.9km long reservation on both sides",7.245823,80.677961,344000
973,Aswedduma iwuru ela 1.9km,"Embankment erosion along 1.9km length. Recommend to 1. Public awareness 2. Creating a single row of areca nut trees and mixed dense plantation of Mee, Kumbuk, Godapara, Kekuna, etc. for a 3m wide and about 1.9km long reservation on both sides",7.230672,80.680146,545000
973,Letiyagolla lower or Ranhotikanda - 300m,"Embankment erosion along 300m length. Recommend to 1. Public awareness 2. Creating a single row of areca nut trees and mixed dense plantation of Mee, Kumbuk, Godapara, Kekuna, etc. for 3m wide and about 300m long reservation on both sides",7.227117,80.679001,172000
973,Letiyagolla upper stream - 300m,"Embankment erosion along 300m length. Recommend to 1. Public awareness 2. Creating a single row of areca nut trees and mixed dense plantation of Mee, Kumbuk, Godapara, Kekuna, etc. for 3m wide and about 300m long reservation on both sides",7.225246,80.678541,172000
973,Stream near the kovil 2km,"Embankment erosion along 2km length. Recommend to 1. Public awareness 2. Acquiring 5m reservation 3. Creating a single row of areca nut trees and mixed dense plantation of Mee, Kumbuk, Godapara, Kekuna, etc. for a 3m wide and about 2km long reservation on both sides 4. Construction of garbage traps 2 nos",7.29652,80.74655,967000
969,Ambalammana Wewe stream 1000,"Embankment erosion along 1km length. Recommend to 1. Public awareness 2. Acquiring 3m reservation 3. Creating a single row of areca nut trees and mixed dense plantation of Mee, Kumbuk, Godapara, Kekuna, etc. for 3m wide and about 1km long reservation on both sides 4. Construction of Contour canals and connecting to drainage canals 5. Protection by turfing sods with vetiver grass rows or cultivating edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline for the benefit of the public.",7.229167,80.675423,461500
969,Batagolla stream 500,"Embankment erosion along 500m length. Recommend to 1. Public awareness 2. Acquiring 3m reservation 3. Creating a single row of areca nut trees and mixed dense plantation of Mee, Kumbuk, Godapara, Kekuna, etc. for 3m wide and about 1km long reservation on both sides 4. Construction of Contour canals and connecting to drainage canals 5. Protection by turfing sods with vetiver grass rows or cultivating edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline for the benefit of the public.",7.230083,80.671663,318000
969,Galpoththa Stream 1100,"Embankment erosion along 900m length. Recommend to 1. Public awareness 2. Acquiring 3m reservation 3. Creating a single row of areca nut trees and mixed dense plantation of Mee, Kumbuk, Godapara, Kekuna, etc. for a 3m wide and about 1km long reservation on both sides 4. Construction of Contour canals and connecting to drainage canals 5. Protection by turfing sods with vetiver grass rows or cultivating edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline for the benefit of the public.",7.23408,80.6776,433000
970,Konara Kumbura,Damaged retaining wall and canal leaks. Recommended the Construction of 20 m long x 125mm thick 500 mm high 500 mm wide single banking canal lining and earth filling to form 900mm reservation,7.234346,80.6886,855000
970,Jambugaspela ela,"Erosion and sedimentation. Recommended 1. Construction of contour canals 2. Creating a single row of areca nut trees and mixed dense plantation of Mee, Kumbuk, Godapara, Kekuna, etc. for 3m wide and about 200m long reservation on both sides.",7.233013,80.686923,114500
970,Ihalawathagama stream,"Erosion and sedimentation. Recommended 1. Construction of contour canals 2. Creating a single row of areca nut trees and mixed dense plantation of Mee, Kumbuk, Godapara, Kekuna, etc. for 3m wide and about 400m long reservation on both sides.",7.233153,80.684747,229000
,Total cost ,,,,"Rs 7,953,750.00"
