Table 6 15: Cost estimate of minor irrigation related proposals with locations,,,,,
GND No.,Scheme,Problem to be addressed /Recommendations,N,E,Estimated Cost
960,Yal Kumbura track canal,"Siltation on canal bed and damaged canal lining beyond repair. Recommend Canal protection by construction of 100mm thick, 0.3m wide and 0.3m high and 100m long canal lining. 2. Earth filling and forming bund with 1.5m reservation and protect with turfing sods or edible plant on slopes for 250m long canal sections.",7.255414,80.689729,880000
960,,,7.25567,80.689705,
960,,,7.255691,80.689687,
960,,,7.256839,80.690093,
960,Meekunuwala ela (1) anicut,Anicut planks are missing. Recommend providing 0.6 sq.m anicut planks,7.252058,80.687337,6000
960,Meekunuwala ela (1),Lined canal /good condition,7.251379,80.687674 (P8),
960,Meekunuwala ela (1),Lined canal /good condition,7.25117,80.687779,
960,Meekunuwala ela (1),Lined canal /good condition,7.25119,80.688963,
960,Meekunuwala ela (1),Lined canal /good condition,7.250681,80.688956,
960,Thalathuoya anicut,Anicut planks are missing. Recommend providing 1.8sq.m anicut planks,7.251509,80.690281,20000
957,Welikada ela (500m),Conveyance loss is excessive due to canal blocks and seepage. Recommend to fully clean the canal and make 500m long reservation protection by 1.5m x 0.5m earth fill and edible plant growth on reservation slope with areca nut fence.,7.26262,80.689728,565250
959,Thaniwatte canal,Canal seepage. Recommend 120m long reservation protection by 1.5m x0.5 m earth fill and edible plant growth on slope and areca nut fence at the edge.,7.244562,80.68924,141000
959,Thaniwatte canal,,7.247775,80.678277,
959,maaradhee ela,Seepage and overflowing of 20m length of earthen canal of 280 m length section.,7.245109,80.677843,
959,Eloya anicut and stream,Scouring and erosion of embankment about 1.5km in length,7.245674,80.677384,
973,Moragolla tank,"The public complains about seepage, percolation and low tank capacity. Recommend to 1. Demarcate a reservation, fencing, and enrich the vegetative cover of more than 1000 Sq.m. 2. Desilting or removal of excess soil deposit within the tank to be done after a broad investigation 3. If any excessive downstream seepage, an impervious blanket is to be provided after the study. 4. There is the potential to raise the bund level to increase the capacity. 5. Therefore, full investigation is recommended and only reforestation is considered at this stage.",7.225663,80.680318,333500
973,Dug well inside the Moragolla tank,Drinking water is sourced through the pipe system. Recommend removing silt deposit and cleaning the well and replastering to damages.,7.225482,80.679687,35000
973,Embankment near Devalaya,"Canal Seepage and overtopping. Recommended construction of a concrete lining of 100mm thick, 0.3m wide and 0.3m high and 100m long canal.",7.228115,80.67553,664250
969,Uda mahakumbura Anicut,Low driving head of the anicut. Provide 0.9m high x1.8m wide anicut planks,7.231308,80.672677,12000
969,Galpoththa anicut,Cracks and leaks of anicut wall. Recommended to provide 100 thick concrete curtain for existing wall (3.6m (L) x 2.4m (H) ),7.231882,80.67312,41000
969,Ehekatawela ela,Seepage and overflowing the canal (600m). Recommend a construction of concrete linings of 200m long x 400mmx300mmx 100mm thick for three locations.,7.232478,80.674502,896500
969,Mada Kumbura anicut,Water leaks through anicut wall. Recommend providing 100 thick concrete curtains for existing wall (length 10m x height 2m). Including fixing 80 nos of 10mm Dia anchor bolts and nuts.,7.232568,80.680038,136000
972,Godamunupitiya Anicut,Anicut walls are damaged. No anicut planks. Recommended 1. Cleaning and concreting the anicut walls (1 Cu.m) 2. Concrete Curtain walls for the anicut (3 Cu.m) 3. Provide Anicut planks (1.5 sq.m),7.236098,80.678553,192000
972,Hapugolla Pinum anatha section,"Embankment erosion (20m). Recommended 1. Canal protection by construction of 100mm thick, 0.3m wide and 0.3m high and 20m long canal lining. 2. Earth filling to form 100m long x 900 mm wide reservation and footpath.",7.235996,80.67395,222400
972,Godamunupitiya ela of Yatiwala anicut,Excessive water leaks in the canal (about 100m). Recommend to form 100m long x1.5mx0.5m earth fill reservation with edible plant grown inside slopes.,7.235833,8.678866,89550
972,Baddekumbura anicut,Excessive water leaks in the canal (about 300m). Recommend to form 200m long x1.5mx0.5m earth fill reservation with edible plant grown inside slopes.,7.237261,80.680758,179100
972,Denakumbura Anicut and Canal,"1. Damaged anicut walls 2. Erosion of embankment. Recommend 1. Provide 100mm thick x9m long high curtain wall for anicut 2. 1. Canal protection by construction of 100mm thick, 0.3m wide and 0.3m high and 100m long canal lining. 2. Earth filling to form 900 mm wide reservation and footpath.",7.236709/7.236757,80.683104/80.683584,883400
972,Wathuliyadda Gedera anicut,No cultivation in the absence of an anicut. Recommend 1. Construction of 8m long 1.2m height 700mm thick concrete anicut structure with two openings 2. Reforestation around the structure is about 80 sq.m with dense natural vegetation.,7.236302,80.677759,338000
972,Elamaldeniya ela,"1. Scouring canal bed heavily 2. Sediments deposit at a distance and can overflow into paddy fields. Farmers request concrete canals. Recommend 200m long reservation protection of 1.5mx0.5m earth fill, edible plant grown in slope, and areca nut fence at the edge of the reservation.",7.239062,80.676342,226100
970,Wew Kumbura anicut,Unserviceable anicut. Recommend the construction of a 5m long x 2.5m high RCC anicut with two openings of 3 sq.m area,7.231473,80.686433,460000
970,Game Wela Ela,Heavy seepage along the canal is about 50m in length. Recommend Construction of 300 mm x 300 mm x 100 mm thick x50m long concrete lining and earth-filled 0.9m wide reservation with turfing.,7.234698,80.682877,421675
970,Liyan Liyadda ela,Seepage along the canal is about 150m in length. Recommend Construction of 300 mm x 300 mm x 100 mm thick x100m long concrete lining and 150m long earth-filled 1.5m widex0.5m reservation with turfing and side slopes with edible plants growth.,7.233298,80.680315,798575
970,Jambugaspela ela,"Embankment erosion and sediment deposits and deformed canal profile. Recommend 1. Earth filling to embankment to form 2m reservation and length about 300 m.
2. Plant two rows of areca nut trees and mixed dense plantation of mee, Kumbuk, Godapara, Kekuna, etc. for 2m wide and 300m long reservation areas.",7.230996,80.691403,339150
970,Minumkubura ela,"Flooding paddy fields due to collapsing canal embankment. Recommend 1. Earth filling to embankment to form 3m reservation and length about 20 m. 2. Construction of 150mm Dia turnout structure for water issue., 3. Plant two rows of areca nut trees and mixed dense plantation of mee, Kumbuk, Godapara, Kekuna etc. for 2-3m wide and 20m long reservation areas.",7.235604,80.684653,82000
,Total cost ,,"Rs 12,618,675",,
