Table 6 24: Total Cost Estimate for Stream Reservation Proposals,,,,,,
No,GND No.,Scheme,Problem to be addressed / Recommendation,N,E,Estimated Cost
11,1046,Kandegama torrent 1,"Soil erosion on both sides of the land during rainy days poses a risk to nearby households. Soil erosion of lands on both sides during rainy days. This situation is a risk to nearby households. Recommend 
1. to make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure, and NPK fertilizer. Covered area 400 m2 ",7.167883,80.714605,"106,800"
12,1041,Torrent near the Karagaskada school,"Soil erosion of lands on both sides. Recommend 1. to construct three or four leader drain drop structures 2. Plant two rows of areca nut seedlings, Gliricidia and Pepper/ Betel creepers for a distance of 100m mixed with riparian plants.3. Make dense planting of mixed vegetation comprising Fruit trees /Kumbuk/Mee/ Godapara / Kaduru /Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 200 m2 ",`,80.698999,"157,000"
13,1041,Karagaskada Janapadaya torrent,"Soil erosion of lands on both sides. Recommend 1. to construct three or four leader drain drop structures 2. plant two rows of areca nut seedlings, Gliricidia, and Pepper/ Betel creepers for a distance of 100m mixed with riparian plants.",7.176706,80.699059,"94,000"
14,,,"3.Make dense planting of mixed vegetation comprising Fruit trees / Kumbuk /Mee / Godapara / Kaduru / Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 200 m2 ",7.177355,80.698206,
15,1042,Riverside torrent,Soil erosion of lands on both sides. Recommend to plant two rows of areca nut seedlings / Betel creepers for a distance of 200m mixed with riparian plants.,7.170504,80.703951,"47,000"
16,1042,Lileweli Kandura,"Soil erosion of lands on both sides. Recommend planting two rows of areca nut seedlings, Gliricidia, and pepper/ Betel creepers for a distance of 300m and mixed with riparian plants.",7.174968,80.70178,"70,500"
17,1042,Torrent at the boundary of Karagaskada South and Karagaskada North,"Soil erosion of lands on both sides and discarding wastes to the torrent. Recommend 1. To plant two rows of areca nut seedlings, Gliricidia and pepper/ Betel creepers for a distance of 250m mixed with riparian plants and vetiver grass at edges. 2. To construct a garbage trap with a 600mm Dia concrete pipe culvert structure with a 2m x1m x 1m Gabian box as a debris collector.",7.174663,80.699966,"113,750"
18,1037,Torrent of Arakewela Janapadaya,"Soil erosion of lands on both sides. Recommend planting two rows of areca nut seedlings, Gliricidia, and pepper/ Betel creepers for a distance of 300m mixed with riparian plants and vetiver grass.",7.179818,80.708588,"70,500"
19,1037,Miniranwala Oya,"Soil erosion of lands on both sides 1000 m length. Recommend 1. Construct (2mx2mx1m) five SABO-boulder dams across the stream. 2. Make dense planting of mixed vegetation comprising Areca nut / Kumbuk/Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 800 m2 
Soil erosion of lands on both sides 1000 m length. Recommend 1. Construct (2mx2mx1m) five SABO-boulder dams across the stream. 2. Make dense planting of mixed vegetation comprising Areca nut trees Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/ Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 300 m2 ",7.17545,80.705897,"520800
380100"
20,1045,Deekirilla Madiththa,"Soil erosion of lands on both sides 1000 m length. Recommend 1. Construct (2mx2mx1m) five SABO-boulder dams across the stream. 2. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 1200 m2 ",7.153818,80.720265,"620,400"
21,1045,Rathpahe Kandura,"Soil erosion of lands on both sides is 500 m in length. Recommend 
1. Construct (2mx2mx1m) five SABO-boulder dams across the stream. 2. Make dense planting of mixed vegetation comprising Areca nut trees / Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 400 m2 ",7.155975,80.717178,"406,800"
22,1045,Torrent near the kovil,"Soil erosion of lands on both sides 1500 m length. Recommend 1. Construct (2mx2mx1m) six numbers of SABO-boulder dams across the stream. 2. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/ Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 800 m2 ",7.15107,80.717673,"573,600"
23,1045,Holman Kandura,"Soil erosion of lands on both sides is 500 m in length. Recommend 1. Construct (2mx2mx1m) four numbers of SABO-boulder dams across the stream. 2. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara/ Kaduru / Aththikka/ Wal del/ Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 400 m2 ",7.150506,80.717659,"346,800"
24,1045,Ibi Kandura,"Soil erosion of lands on both sides is about 4k m in length. Recommend 
1. Construct (2mx2mx1m) six numbers of SABO-boulder dams across the stream. 2. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/ Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 800 m2 ",,,"573,600"
25,1044,Torrent near the weaving centre,Soil erosion of lands on both sides of 20m length. Recommend to Construct 25m long 1mx1m leader drain and areca nut rows in both embankments,7.15557,80.723566,"54,000"
26,1044,Spillway canal of Weraludanda canal,"Soil erosion of lands on both sides is about 200m. Recommend earth filling of strips of 1.5m to 2m wide and 100m in length, an average Depth of 0.5m, and side slope protection with vetiver grass with areca nut fencing for both embankments.",7.155891,80.723833,"110,000"
27,1044,Gabadagama Paara Kandura,"Soil erosion of lands on both sides. Recommend to plant two rows of areca nut seedlings, Gliricidia and Pepper/ Betel creepers for a distance of 100m mixed with riparian plants and vetiver grass at edges.",7.15642,80.724919,"23,500"
28,1044,Embulampe torrent,"Soil erosion of lands on both sides is about 3km in length. Recommend 
1. Construct (2mx2mx1m) nine SABO-boulder dams across the stream. 
2. Make dense planting of mixed vegetation comprising Areca nut Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.
3. Apply mulching, organic manure and NPK fertilizer. Covered area 500 sqm.",7.149464,80.720256,"673,500"
29,1044,Atalehe Ela,"Soil erosion of lands on both sides is about 3km in length. Recommend 1. Construct (3mx2mx1m) 4 numbers of SABO-boulder dams across the stream. 2. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 600 sqm.",7.157876,80.724698,"520,000"
30,1039,Torrent near Mr. Kumaratunga’s House,"Heavy soil erosion of lands on both sides. Recommend 1. Construct a leader drain of 100m length (1mx1m). 2. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/ Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 200 sqm.",7.158803,80.720361,"253,000"
31,1039,Loolkandura,"Soil erosion of lands on both sides and agrochemicals mixing with the soil. Recommend dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/ Vetiver/ Buthsarana-Cannas-Hambu pan /riparian plants/bamboo/randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 500 sqm.",7.160966,80.716848,"133,500"
32,1047,Appallawala torrent,"Soil erosion of lands on both sides. Recommend dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/Vetiver/Buth sarana-Cannas-Hambu pan /riparian plants/bamboo/randomly mixed seedlings at 500 mm grid interval.
2. Apply mulching, organic manure and NPK fertilizer. Covered area 200 sqm.",7.16671,80.719766,"53,400"
33,1047,Agurubedda torrent,Soil erosion of lands on both sides about 200m. Recommend earth filling of strip of 1.5m to 2m wide and 100m in length and average Depth of 0.5m and side slope protection with vetiver grass with areca nut fencing for both embankments about 400 Sq.m.,7.1640967.166305,80.72287180.722013,"196,350"
34,1047,Kuda Oya Ela and Murapola Ela,"Soil erosion of lands on both sides about 800m. Recommend 1. Earth filling of strip of 1.5m to 2m wide and 300m in length and average Depth of 0.5m and side slope protection with vetiver grass with areca nut fencing for both embankments 2. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/ Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 600 Sq.m.",7.164308,80.721883,"428,850"
35,1034,Torrent neat Mr. Razeem's House,Soil erosion of lands on both sides about 150m. Recommend earth filling of strip of 1.5m to 2m wide and 100m in length and average Depth of 0.5m and side slope protection with vetiver grass with areca nut fencing for both embankments about 100 Sq.m.,7.172474,80.717046,"116,250"
,,Total cost,,,,"LKR 9,379,300"
