Table 6 1: Key activities proposed for soil and water conservation in MWS-008-2,,,,,,,,,,,,,,,
No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,Sub Item No.,N or X,E or Y,Quantity,Proposed measure/s,Unit Cost (LKR),Total Cost (LKR),Total Cost (LKR),"Contribution (Local Community, LA, and the project)",Time frame for the implement-tation,
,,,,,,7.177732,80.735544,,,,,,,,
,,,3. Development of natural drains - Kele Tank Kandura II,"4,5",1,7.1751118,80.735242,300 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"30,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
,,,,,,7.177249,80.734448,,,,,,,,
,,,4. Development of natural drains - Goma Diya Pokuna Tank Kandura,5,1,7.178028,80.733524,100 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"10,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
,,,5. Development of natural drains - Kandura near Janawasama I,1,1,7.177696,80.732426,50 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"5,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
,,,5. Development of natural drains - Kandura near Janawasama II,1,1,7.179595,80.731813,50 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"5,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
,,,6. Development of natural drains - Kotiyagallana Kandura,5,1,7.177744,80.738913,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"20,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
,,,7. Development of natural drains - Kele Tank Kandura I,4,1,7.175731,80.733096,100 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"10,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
,,,8. Development of natural drains - Muwan Pani Ella Kandura,5,1,7.175751,80.730825,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
,,,9. Soil conservation practices - Kiriwanaketiya (75°) ,3,1,7.177817,80.736203,44 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied",250 m-1,"11,000,000",,Labour and other basic services by the Local community,,1 Years
,,,10. Soil conservation practices -Kiriwanaketiya (75°) ,1,1,7.177433,80.73345,1 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"250,000",,Labour and other basic services by the Local community,,0.25 Years
,,,11. Soil conservation practices - Janawasama Lands (70°) ,5,1,7.178236,80.731188,40 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied",250 m-1,"10,000,000",,Labour and other basic services by the Local community,,1 Year
,,,12. Soil conservation practices - Kiriwanaketiya (80°) ,1,1,7.181073,80.734972,2 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"500,000",,Labour and other basic services by the Local community,,0.25 Years
,,,13. Soil conservation practices - Murapola Ela (65°) ,5,1,7.175079,80.738542,24 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied",250 m-1,"6,000,000","28,080,000",Labour and other basic services by the Local community,,0.5 Years
3,1028,Kotagepitiya,1. Development of natural drains - Gurugal Oya,1,1,7.161041,80.733053,500 m,"Clearing and planting some trees along the banks (Areca nut, Kumbuk, Bamboo etc.) and other conservation practices",,"50,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
,,,2. Development of natural drains - Malpatta Oya,3,1,7.166478,80.73923,600 m,"Clearing and planting some trees along the banks (Areca nut, Kumbuk, Bamboo etc.) and other conservation practices",,"60,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
,,,3. Soil conservation practices - Kekunukotuwa (45°) ,1,1,7.166259,80.739626,6 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied",250 m-1,"1,500,000",,Labour and other basic services by the Local community,,0.25 Years
,,,4. Soil conservation practices - Elhena Kanaththa (55°) ,3,1,7.166908,80.739911,0.25 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"62,500",,Labour and other basic services by the Local community,,0.25 Years
,,,5. Establishing a retaining wall - Elle Kanaththa,2,1,7.163858,80.736983,3 m x 1.5 m,Retaining wall,"2,000 m-2","9,000","1,681,500",Labour and other basic services by the Local community,,0.25 Years
4,1029,Kolambissa East,1. Development of natural drains - Kotiya Gallena Kandura,5,1,7.176176,80.741218,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
,,,2. Soil conservation practices - Girambe (30°) ,1,1,7.178942,80.74189,16 ha,"Live fencing/SALT, Planting perennial crops - 8 ha
Lock and spills - 4 ha
Stone terracing - 4 ha","250 m-1
400 m-1
2,500 m-1","2000000
1600000
10000000",,Labour and other basic services by the Local community,,0.5 Years
,,,3. Soil conservation practices - Either sides of Murapola Ela (80°) ,5,1,7.176723,80.74234,0.5 ha,"Live fencing/SALT, Planting perennial crops - 8 ha",250 m-1,"1,000",,Labour and other basic services by the Local community,,0.25 Years
,,,4. Soil conservation practices - Bank of Ma Oya (75°) ,5,1,7.176825,80.747828,0.75 ha,"Live fencing/SALT, Planting perennial crops - 8 ha",250 m-1,"1,500","13,702,500",Labour and other basic services by the Local community,,0.25 Years
5,1030,Kolambissa West,1. Development of natural drains - Kolombissa East Kandura,1,1,7.179972,80.738343,1.2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"120,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
,,,2. Development of natural drains - Kandura near Kolombissa Junction,3,1,7.179872,80.741174,1.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"150,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
,,,3. Soil conservation practices - Kolombissa West Praja Shalawa (60°) ,3,60,7.180525,80.73824,12 ha,"Live fencing/SALT, Planting perennial crops - 8 ha
Stone terracing, Lock and spills, as applied",250 m-1,"3,000,000",,Labour and other basic services by the Local community,,0.25 Years
,,,4. Soil conservation practices - Kolombissa West (70°) ,1,70,7.183603,80.738763,2.5 ha,"Live fencing/SALT, Planting perennial crops ",250 m-1,"625,000",,Labour and other basic services by the Local community,,0.25 Years
,,,5. Soil conservation practices - Kolombissa West Galpoththa (80°) ,5,80,7.182707,80.74089,12 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied",250 m-1,"3,000,000",,Labour and other basic services by the Local community,,0.25 Years
,,,6. Soil conservation practices - Kolombissa West (60°) ,1,60,7.180545,80.740548,0.5 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"125,000",,Labour and other basic services by the Local community,,0.25 Years
,,,7. Soil conservation practices - Kolombissa Temple (30°) ,2,30,7.178447,80.740808,0.5 ha,Lock and spills,400 m-1,"200,000","7,220,000",Labour and other basic services by the Local community,,0.25 Years
6,1031,Murapola East,1. Development of natural drains - Anda Dambaye Kandura,1,1,7.183672,80.748205,3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"300,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
,,,2. Development of natural drains - Giri Ambe Kandura,5,1,7.17859,80.748757,3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"300,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
,,,3. Development of natural drains - Neelawala Kandura,1,1,7.18559,80.757943,3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"300,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
,,,4. Development of natural drains - Ma Oya,1,1,7.185495,80.75804,5 km,"Clearing and planting some trees along the banks (Areca nut, Kumbuk, Bamboo etc.) and other conservation practices",,"500,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
,,,5. Soil conservation practices - Murapola East (40°) ,3,1,7.178523,80.750262,5 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"1,250,000",,Labour and other basic services by the Local community,,0.5 Years
,,,6. Soil conservation practices - Watapanduru Yaya (60°) ,2,1,7.182757,80.74848,1 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"250,000",,Labour and other basic services by the Local community,,0.25 Years
,,,7. Soil conservation practices - Murapola East (30°) ,3,1,7.185658,80.75085,8 ha,"Live fencing/SALT, Planting perennial crops - 2 ha
Lock and spills - 3 ha
Stone terracing - 3 ha","250 m-1
400 m-1
2,500 m-1","500000
1200000
7500000","12,100,000",Labour and other basic services by the Local community,,0.5 Years
7,1032,Murapola West,1. Development of natural drains - Murapola Kandura 1,4,1,7.186411,80.746966,30 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"3,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
,,,2. Development of natural drains - Murapola Kandura 2,1,1,7.18722,80.747361,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"20,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
,,,3. Development of natural drains - Murapola Kandura 3,4,1,7.186746,80.744877,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"20,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
,,,4. Soil conservation practices - Murapola West (60°) ,4,1,7.185278,80.74615,8 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"200,000",,Labour and other basic services by the Local community,,0.5 Years
,,,5. Soil conservation practices - Murapola West (70°) ,4,1,7.185564,80.745583,10 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"2,500,000",,Labour and other basic services by the Local community,,0.5 Years
,,,6. Soil conservation practices - Murapola West (75°) ,4,1,7.186894,80.745944,1 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"250,000",,Labour and other basic services by the Local community,,0.5 Years
,,,7. Soil conservation practices - Rubber Estate (70°) ,4,1,7.186452,80.744052,3 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"750,000","3,743,000",Labour and other basic services by the Local community,,0.5 Years
8,1033,Pattiyagama Pallegama,1. Development of natural drains - Ulututhenna Waththa Kandura,2,1,7.167007,80.724905,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,2. Development of natural drains - Kandura near Udapituya School,4,1,7.166039,80.724272,1.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"150,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
,,,3. Development of natural drains - Wadiyagoda Kandura,2,1,7.16458,80.728661,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,4. Soil conservation practices - Pallegama (60°) ,2,1,7.166481,80.724821,12 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied",250 m-1,"3,000,000",,Labour and other basic services by the Local community,,0.5 Years
,,,5. Soil conservation practices - Pallegama Mosque (65°) ,1,1,7.166215,80.724005,1.5 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied",250 m-1,"375,000",,Labour and other basic services by the Local community,,0.25 Years
,,,6. Soil conservation practices - Pallegama (70°) ,4,1,7.166465,80.723086,12 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied",250 m-1,"3,000,000",,Labour and other basic services by the Local community,,0.5 Years
,,,7. Soil conservation practices - Wadiyagoda (75°) ,1,1,7.161934,80.729731,6 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied",250 m-1,"1,500,000",,Labour and other basic services by the Local community,,0.5 Years
,,,8. Soil conservation practices - Medihena (60°) ,1,1,7.174611,80.726662,48 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied
Stone terracing, Lock and spills, as applied",250 m-1,"12,000,000",,Labour and other basic services by the Local community,,1 Year
,,,9. Renovating the retaining wall (30 m x 2 m),3,1,7.165803,80.724572,30 m x 2 m,Retaining wall,"2,000 m-2","120,000","20,245,000",Labour and other basic services by the Local community,,0.25 Years
9,1036,Wanahapuwa,1. Development of natural drains - Kandura via Ensalgolla School,5,1,7.17775,80.717135,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,2. Development of natural drains - Kandura from Egodagama spring,1,1,7.179527,80.721413,150 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"150,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,3. Development of natural drains - Kandura near Mr. Rahamathulla,5,1,7.176935,80.717077,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,4. Development of natural drains - Malwatte Oya,1,1,7.177763,80.719931,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,5. Development of natural drains - Kandura near Wetakepotha and Wanahapuwa Road,1,1,7.176508,80.717417,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,5. Soil conservation practices - Ensalgolla Maha Vidyalaya (70°) ,4,1,7.176622,80.715928,1.5 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"375,000",,Labour and other basic services by the Local community,,0.25 Years
,,,6. Soil conservation practices - Ensalgolla Primary School (85°) ,5,1,7.17737,80.716622,1 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"250,000",,Labour and other basic services by the Local community,,0.5 Years
,,,7. Soil conservation practices - Primary School (85°) ,1,1,7.177145,80.716305,10 m x 5 m,Retaining wall,"2,000 m-2","100,000",,Labour and other basic services by the Local community,,0.25 Years
,,,8. Soil conservation practices - Primary School (85°) ,5,1,7.17736,80.71642,10 m x 6 m,Retaining wall,"2,000 m-2","120,000",,Labour and other basic services by the Local community,,0.25 Years
,,,9. Soil conservation practices - Mahawattawa Oya (30°) ,1,1,7.177763,80.719931,1.5 ha,Stone terracing,"2,500 m-1","3,750,000",,Labour and other basic services by the Local community,,0.25 Years
,,,10. Soil conservation practices - Wanahapuwa (60°) ,4,1,7.17732,80.717042,1.5 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"375,000",,Labour and other basic services by the Local community,,0.25 Years
,,,11. Establishing a retaining wall (8 m x 6 m) - Enasalgolla Maha Vidyalaya,4,,7.176622,80.715928,8 m x 6 m,Retaining wall,"2,000 m-2","96,000","6,016,000",Labour and other basic services by the Local community,,0.25 Years
10,1038,Bopitiya,1. Development of natural drains - Muslim Village Kandura,1,1,7.180185,80.706991,300 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"30,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,2. Development of natural drains - Wanahapuwa Kandura,"1, 3",1,7.18247,80.717048,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,,,,7.185359,80.714571,,,,,,,,
,,,3. Development of natural drains - Kandura,4,1,7.178172,80.706074,400 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"40,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,4. Development of natural drains - Great Estate Kandura,5,1,7.183624,80.71018,300 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"30,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,5. Soil conservation practices - Sinhala Village (60°) ,1,1,7.18012,80.707292,6 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"1,500,000",,Labour and other basic services by the Local community,,0.25 Years
,,,6. Soil conservation practices - Bopitiya Great Valley (75°) ,4,1,7.184366,80.710745,8 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied",250 m-1,"2,000,000",,Labour and other basic services by the Local community,,0.25 Years
,,,7. Soil conservation practices - Great Valley (80°) ,5,1,7.183616,80.710179,5.5 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied",250 m-1,"1,375,000","5,075,000",Labour and other basic services by the Local community,,0.25 Years
Grand Total,,,,,,,,,,,,"106,625,500",,,
