Table 6 16: Cost estimate of minor irrigation related proposals with locations,,,,,
GND No.,Scheme,Problem to be addressed /Recommendations,N,E,Estimated Cost
1031,Giri Ambe anicut and canal,"Absence of an anicut. A part of the canal is not concrete lined, and seepages occurs from the canal. (5 acres) (L- 1000m). Recommend 
1. to construct inverted ""T"" shape profile for concrete wall (Length 4.5m height 1.5m x Thickness 0.3m) with foundation (Length 4.5m x Width 0.9m x Thickness 0.2m).
2. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide for 500m length. 
3. Plant Areca nut seedlings in both sides at 1m spacing.
4. Protection by turfing sods with vetiver grass rows ",7.17859,80.748757,585090
1031,FC - 14 Sub Field Canal,"Overflow and seepages towards the field side. (L- 400m). Recommend to 
1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 400 m.
2. Protection by turfing sods with vetiver grass rows. or  
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface. 
4. Plant Areca nut seedlings in both sides at 1m spacing.",7.184444,80.748957,358200
1031,Edarugaha Madiththa canal,"Overflow and seepages towards the field side. (L- 600m). Recommend to
1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 500 m2. 
2.Protection by turfing sods with vetiver grass rows. or  
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface. 
4. Plant Areca nut seedlings in both sides at 1m spacing.",7.186097,80.755042,447750
1031,Mata Padurehi anicut of Eda Dambaye torrent,"•Absence of an anicut. A part of the canal is not concrete lined, and seepages occurs from the canal. (12 acres) (L- 400m). Recommend 
1. to construct inverted ""T"" shape concrete wall (Length 3m x Height 1.2m x Thickness 0.3m) with foundation (Length 6m width 0.9m x Thickness 0.2m).
2. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide for 300m length. 
3. Plant Areca nut seedlings in both sides at 1m spacing.",7.182825,80.749343,365000
1031,Mata Padurehi canal of Eda Dambaye torrent,"Overflow and seepages towards the field side. (L- 1000m). Recommend to 
1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 600 m2. 
2.Protection by turfing sods with vetiver grass rows. or 
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface. 
4. Plant Areca nut seedlings in both sides at 1m spacing.",7.182882,80.74939,537300
1031,Gorakagaha Madiththa canal,"Overflow and seepages towards the field side. (L- 800m). Recommend to 
1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 500 m2.
2.Protection by turfing sods with vetiver grass rows. or  
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface. 
4. Plant Areca nut seedlings in both sides at 1m spacing.",7.186124,80.756451,447750
1031,Murapola FC - 19 Sub Field Canal,"Water overflows from the field side and floods into houses. Recommend to 
1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 700 m2. 
2.Protection by turfing sods with vetiver grass rows. or 
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface. 
4. Plant Areca nut seedlings in both sides at 1m spacing.",7.185458,80.752987,626850
1026,Heen Dadu Ela,"Overflow and seepages towards the field side. (L- 200m). Recommend to
1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 200 m2.
2.Protection by turfing sods with vetiver grass rows. or  
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface. 
4. Plant Areca nut seedlings in both sides at 1m spacing.",7.164621,80.732356,179000
1033,Galpihilla anicut,"Absence of the flank bund and a anicut planks need replacement. Recommend 
1. to construct an earthen bund of 15m length x 2.2m high x2m BTW and 1:1.5 side slopes.
2. To provide 6 sqm of anicut planks.",7.167675,80.724899,283800
1033,Pallegama canal,"Seepages towards the field side. (L- 3000m). Recommend to 
1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 1200 m2.
2.Protection by turfing sods with vetiver grass rows. or  
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface. 
4. Plant Areca nut seedlings in both sides at 1m spacing.",7.16549,80.725676,1074600
1036,Jambugahayata canal,"Seepages towards the field side. (L- 200m). Recommend to 
1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 200 m2.
2.Protection by turfing sods with vetiver grass rows. or  
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface. 
4. Plant Areca nut seedlings in both sides at 1m spacing.",7.17899,80.718693,179100
1036,Jambugahayata canal 2,"Seepages towards the field side. (L- 150m) . Recommend to 
1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 150 m2.
2.Protection by turfing sods with vetiver grass rows. or  
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface. 
4. Plant Areca nut seedlings in both sides at 1m spacing.",7.177583,80.719557,135290
1036,Purankumbura Maha Ela,"Seepages towards the field side. (L- 1500m). Recommend to 
1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 1200 m2.
2.Protection by turfing sods with vetiver grass rows. or  
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface. 
4. Plant Areca nut seedlings in both sides at 1m spacing.",7.177583,80.719557,1074600
1036,Yata Ela 1,"Seepages towards the field side. (L- 1000m). Recommend to 
1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 800 m2. 
2.Protection by turfing sods with vetiver grass rows. or 
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface. 
4. Plant Areca nut seedlings in both sides at 1m spacing.",7.17844,80.719607,716400
1036,Yata Ela 2,"1. A part of the canal is not rehabilitated. (L- 20m). Recommend excavating the canal profile 300mm canal bed width and 500mm depth manually. 
2. Plant areca nut rows with vetiver grass.",7.177785,80.720002,14000
,Total cost,,,,"LKR 17,177,000"
