ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Discription,Download,geojson,Year
19,MWS-014,Detail,Hydrology,Stream network,,IWMI,Derive,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/02_HYD/HYD_DRN/HYD_DRN_MWS_014.geojson,
20,MWS-014,Detail,Hydrology,Mini watershed,,IWMI,Derive,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/UMW/MWS_Boundary_Updated_UMC_Names.geojson,
21,MWS-014,Proposal,Proposal Soil,Soil Conservation,,IWMI/GCP,Field,Yes,Text,,,,
22,MWS-014,Proposal,Proposal Soil,Non-point source pollution,,IWMI/GCP,Field,Yes,Text,,,,
23,MWS-014,Proposal,Proposal Soil,Lanslides,,IWMI/GCP,Field,Yes,Text,,,,
24,MWS-014,Proposal,Proposal Soil,Household Waste,,IWMI/GCP,Field,Yes,Text,,,,
25,MWS-014,Report,Report,Watershed managment plan,,IWMI,Derive,No,Text,,,,
26,MWS-014,Map,Map,Atlas,,IWMI,Derive,No,Image,,,,
27,MWS-014,Photo,Photo,Photo,,IWMI,Derive,Yes,Photo,,,,
28,MWS-014,Detail,Location,Building,,SD,Raw,Yes,Vector,,,,
29,MWS-014,Detail,Water features,Water features-point,,SD,Raw,Yes,Vector,,,,
30,MWS-014,Detail,Water features,Water features-line,,SD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/02_HYD/Hydro_Li/HY_Hydro_Li_MWS_014.geojson,
31,MWS-014,Detail,Water features,Water features-polygon,,SD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/02_HYD/Hydro_Pg/HY_Hydro_Pg_MWS_014.geojson,
32,MWS-014,Detail,Trasport,Raod,,SD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/08_TRP/TR_Transport/TR_Transport_Pt_MWS_014.geojson,
33,MWS-014,Detail,Location ,Places,,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/09_PLC/CA_Toponym/CA_Toponym_Pt_MWS_014.geojson,
