ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Discription,Download,geojson,Year
,UMW,Climate,Temporature - Max,Monthly  Temporature - Max- 10,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_10.png,
,UMW,Climate,Temporature - Max,Monthly  Temporature - Max- 11,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_11.png,
,UMW,Climate,Temporature - Max,Monthly  Temporature - Max- 12,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_12.png,
,UMW,Climate,Temporature - Min,Monthly  Temporature - Min- 01,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_1.png,
,UMW,Climate,Temporature - Min,Monthly  Temporature - Min- 02,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_2.png,
,UMW,Climate,Temporature - Min,Monthly  Temporature - Min- 03,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_3.png,
,UMW,Climate,Temporature - Min,Monthly  Temporature - Min- 04,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_4.png,
,UMW,Climate,Temporature - Min,Monthly  Temporature - Min- 05,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_5.png,
,UMW,Climate,Temporature - Min,Monthly  Temporature - Min- 06,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_6.png,
,UMW,Climate,Temporature - Min,Monthly  Temporature - Min- 07,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_7.png,
,UMW,Climate,Temporature - Min,Monthly  Temporature - Min- 08,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_8.png,
,UMW,Climate,Temporature - Min,Monthly  Temporature - Min- 09,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_9.png,
,UMW,Climate,Temporature - Min,Monthly  Temporature - Min- 10,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_10.png,
,UMW,Climate,Temporature - Min,Monthly  Temporature - Min- 11,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_11.png,
,UMW,Climate,Temporature - Min,Monthly  Temporature - Min- 12,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_12.png,
,UMW,Climate,Evoporation,Monthly evoporation - 01,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/EP_1.png,
,UMW,Climate,Evoporation,Monthly evoporation - 02,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/EP_2.png,
,UMW,Climate,Evoporation,Monthly evoporation - 03,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/EP_3.png,
,UMW,Climate,Evoporation,Monthly evoporation - 04,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/EP_4.png,
,UMW,Climate,Evoporation,Monthly evoporation - 05,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/EP_5.png,
,UMW,Climate,Evoporation,Monthly evoporation - 06,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/EP_6.png,
,UMW,Climate,Evoporation,Monthly evoporation - 07,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/EP_7.png,
,UMW,Climate,Evoporation,Monthly evoporation - 08,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/EP_8.png,
,UMW,Climate,Evoporation,Monthly evoporation - 09,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/EP_9.png,
,UMW,Climate,Evoporation,Monthly evoporation - 10,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/EP_10.png,
,UMW,Climate,Evoporation,Monthly evoporation - 11,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/EP_11.png,
,UMW,Climate,Evoporation,Monthly evoporation - 12,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/EP_12.png,
,UMW,Climate,NDVI,Monthly NDVI -01,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/NDVI_1.png,
,UMW,Climate,NDVI,Monthly NDVI -02,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/NDVI_2.png,
,UMW,Climate,NDVI,Monthly NDVI -03,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/NDVI_3.png,
,UMW,Climate,NDVI,Monthly NDVI -04,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/NDVI_4.png,
,UMW,Climate,NDVI,Monthly NDVI -05,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/NDVI_5.png,
,UMW,Climate,NDVI,Monthly NDVI -06,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/NDVI_6.png,
,UMW,Climate,NDVI,Monthly NDVI -07,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/NDVI_7.png,
,UMW,Climate,NDVI,Monthly NDVI -08,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/NDVI_8.png,
,UMW,Climate,NDVI,Monthly NDVI -09,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/NDVI_9.png,
,UMW,Climate,NDVI,Monthly NDVI -10,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/NDVI_10.png,
,UMW,Climate,NDVI,Monthly NDVI -11,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/NDVI_11.png,
,UMW,Climate,NDVI,Monthly NDVI -12,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/NDVI_12.png,
