ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Discription,Download,geojson,Year
20,MWS-003,Detail,Hydrology,Mini watershed,,IWMI,Derive,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/UMW/MWS_Boundary_Updated_UMC_Names.geojson,2024
21,MWS-003,Proposal,Proposal Soil,Soil Conservation,,IWMI/GCP,Field,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_03_Soil_Conservation_ON_site_and_OFF_site_V1.geojson,2024
22,MWS-003,Proposal,Proposal Soil,Non-point source pollution,,IWMI/GCP,Field,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_03_Non_point_source_pollution_V1.geojson,2024
23,MWS-003,Proposal,Proposal Soil,Lanslides,,IWMI/GCP,Field,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_03_Lanslides_V1.geojson,2024
24,MWS-003,Proposal,Proposal Soil,Household Waste,,IWMI/GCP,Field,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_03_Household_Waste_V1.geojson,2024
25,MWS-003,Report,Report,Watershed managment plan,,IWMI,Derive,No,Text,,,,2024
26,MWS-003,Map,Map,Atlas,,IWMI,Derive,No,Image,,,,2024
27,MWS-003,Photo,Photo,Photo,,IWMI,Derive,Yes,Photo,,,,2024
28,MWS-003,Detail,Location,Building,,SD,Raw,Yes,Vector,,,,
29,MWS-003,Detail,Water features,Water features-point,,SD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/02_HYD/Hydro_Pt/HY_Hydro_Pt_MWS_003.geojson,
30,MWS-003,Detail,Water features,Water features-line,,SD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/02_HYD/Hydro_Li/HY_Hydro_Li_MWS_003.geojson,
31,MWS-003,Detail,Water features,Water features-polygon,,SD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/02_HYD/Hydro_Pg/HY_Hydro_Pg_MWS_003.geojson,
32,MWS-003,Detail,Trasport,Raod,,SD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/08_TRP/TR_Transport/TR_Transport_Pt_MWS_003.geojson,
33,MWS-003,Detail,Location ,Places,,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/09_PLC/CA_Toponym/CA_Toponym_Pt_MWS_003.geojson,
