Table 6 1: Key activities proposed for soil and water conservation in MWS-008-1 ,,,,,,,,,,,,,,
No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,Sub Item No.,N or X,E or Y,Quantity,Proposed measure/s,Uniti Cost (Rs.),Total Cost (Rs.),Total Cost (Rs.),"Contribution (Local Community, LA, and the project)",Time frame for the implementation
,,,5. Establishing a retaining wall - Thikaththawela Pahala Wewa,3,1,7.199109,80.751476,20 m x 3.5 m,Retaining wall,"2,000.00 m-2","140,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,6. Establishing a retaining wall - Thikaththawela,1,1,7.199257,80.750615,6 m x 3 m,Retaining wall,"2,000.00 m-2","36,000.00","1,522,000.00",Labour and other basic services by the Local community,0.25 Years
4,1020,Neelawala,1. Developemnt of natural dain - Kandura near Neelawala Devalaya,1,1,7.187487,80.741621,2350 m,Clearing and planting some trees along the banks (Aracanut),,"235,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,2. Developemnt of natural dain - Pihiathala Kandura 1,5,1,7.187526,80.741049,1.5 km,Clearing and planting some trees along the banks (Aracanut),,"150,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,3. Developemnt of natural dain - Pihiathala Kandura 2,1,1,7.19599,80.739448,400 m,Clearing and planting some trees along the banks (Aracanut),,"40,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,4. Developemnt of natural dain - Pihiathala Kandura 3,5,1,7.191039,80.739794,400 m,Clearing and planting some trees along the banks (Aracanut),,"40,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,5. Developemnt of natural dain - Pihiathala Kandura 4,5,1,7.191346,80.740012,400 m,Clearing and planting some trees along the banks (Aracanut),,"40,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,6. Developemnt of natural dain - Havan Madiththa Kandura,4,1,7.188415,80.752867,100 m,Clearing and planting some trees along the banks (Aracanut),,"10,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,7. Soil conservation practices - Pihathalawa (60 - 80°),1,1,7.187839,80.739298,10 ha,Live fencing/SALT,250.00 m-1,"2,500,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,,5,2,7.188602,80.739591,2.25 ha,Live fencing/SALT,250.00 m-1,"562,500.00",,Labour and other basic services by the Local community,0.25 Years
,,,,1,3,7.189273,80.739657,6 ha,Live fencing/SALT,250.00 m-1,"1,500,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,,5,4,7.189699,80.73958,0.5 ha,Live fencing/SALT,250.00 m-1,"125,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,8. Soil conservation practices - Pihathalawa Tigolgoda (65 - 70°),5,1,7.191497,80.740229,17 ha,Live fencing/SALT,250.00 m-1,"4,250,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,,5,2,7.192989,80.74096,17 ha,Live fencing/SALT,250.00 m-1,"4,250,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,9. Soil conservation practices - Neelawala Polwaththa (35°),1,1,7.190304,80.745855,5 ha,Lock and spills ,400.00 m-1,"2,000,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,10. Soil conservation practices - Ethpanthiya Waththa (30°),1,1,7.190957,80.748479,2 ha,Lock and spills ,400.00 m-1,"800,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,11. Establishing a retaining wall,2,1,7.190387,80.748812,20 m x 2 m,Retaining wall,"2,000.00 m-2","80,000.00","16,582,500.00",Labour and other basic services by the Local community,0.25 Years
5,1021,Kahambiliyawa,1. Developemnt of natural dain - Kahambiliyawa Kandura 1,5,2,7.18858,80.75758,200 m,Clearing and planting some trees along the banks (Aracanut),,"20,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,2. Developemnt of natural dain - Kahambiliyawa Kandura 2,4,2,7.188698,80.757592,100 m,Clearing and planting some trees along the banks (Aracanut),,"10,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,3. Soil conservation practices - Rajasingha Nursery School (70°),3,1,7.18981,80.757265,0.5 ha,Live fencing/SALT,250.00 m-1,"125,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,4. Soil conservation practices - Area above the Hunuwatawala Ela (30°),1,1,7.191268,80.75797,1.25 ha,"Lock and spills
Planting trees ",400.00 m-1,"500,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,5. Soil conservation practices - Kahambiliyawa (30°),2,1,7.186334,80.752447,10 ha,Lock and spills ,400.00 m-1,"4,000,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,6. Soil conservation in Kurudiya Forest Reserve,2,1,7.188341,80759748,0.5 ha,Planting trees,,"50,000.00","4,705,000.00",Labour and other basic services by the Local community,0.25 Years
6,1024,Unuvinna East,1. Developemnt of natural dain - Kandura near Pwer Station,5,1,7.2087,80.767099,1 km,Clearing and planting some trees along the banks (Aracanut),,"100,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,2. Developemnt of natural dain - Asweduma Kandura,4,1,7.207132,80.768327,1 km,Clearing and planting some trees along the banks (Aracanut),,"100,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,3. Soil conservation practices - Magahamadiththa (50°),4,1,7.208601,80.761755,12 ha,Live fencing/SALT,250.00 m-1,"3,000,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,4. Soil conservation practices - Ele Mukalana (70°),1,1,7.205088,80.769034,7 ha,Live fencing/SALT,250.00 m-1,"1,750,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,5. Soil conservation practices - Pallema Oya (70°),4,1,7.210367,80.767393,18 ha,Live fencing/SALT,250.00 m-1,"4,500,000.00","9,450,000.00",Labour and other basic services by the Local community,0.25 Years
7,1025,Unuvinna West,1. Developemnt of natural dain - Hunukotawela Kandura,4,1,7.190253,80.762076,2 km,Clearing and planting some trees along the banks (Aracanut),,"200,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,2. Soil conservation practices - Munamale (60°),4,1,7.200566,80.756105,0.5 ha,Live fencing/SALT,250.00 m-1,"125,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,3. Soil conservation practices - Unuvinna School (65°),5,1,7.196817,80.759989,0.75 ha,Live fencing/SALT,250.00 m-1,"187,500.00",,Labour and other basic services by the Local community,0.25 Years
,,,4. Soil conservation practices - Hunukotawela (80°),5,1,7.193058,80.764443,1.5 ha,Live fencing/SALT,250.00 m-1,"375,000.00","887,500.00",Labour and other basic services by the Local community,0.25 Years
,,,,,,,,,Grand Total,,"54,702,000.00",,,
