Table 6 13: Cost estimate of minor irrigation related proposals with locations,,,,,,,
GND,Scheme/Name,Problem to be addressed/ Need,Coordinates,,Recommended Remedial Actions,,Estimated Cost
948,Kebalewa canal,Leaks in the canal.,7.15136,80.382102,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"87,000"
948,Kebalewa canal,Leaks in the canal.,7.1317895,80.381946,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"87,000"
948,Kebalewa canal,Upstream embankment collapse and retaining wall required,7.1517381,30.390827,Provide 15m long x2m high RCC retaining wall ,,"400,000"
948,Kebalewa canal,Leaks in the canal.,7.1317895,80.391946,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"87,000"
948,Kalaldora canal,Leaks in the canal.,7.1514556,80.397366,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"87,000"
948,Kalaldora canal,Leaks in the canal.,7.1513772,80.3977,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"87,000"
948,Kalaldora canal,Leaks in the canal and overflow,7.1518846,80.39128,"Demolish and reconstruct   125mm thick  , 0.4m  wide  and 0.5m high and 100m long canal with grade 25 concrete  -single banking",,"690,000"
948,Kalaldora canal,Leaks in the canal and overflow,7.151431,80.399477,"Demolish and reconstruct   125mm thick  , 0.4m  wide  and 0.5m high and 100m long canal with grade 25 concrete  -single banking",,"690,000"
948,Kalaldora canal,Leaks in the canal and overflow,7.1515149,80.39107,"Demolish and reconstruct   125mm thick  , 0.4m  wide  and 0.5m high and 100m long canal with grade 25 concrete  -single banking",,"690,000"
948,Kalaldora canal,Remove  rock obstacles,7.151431,80.399477,Manually drill 20-25 dia holes @300mm interval   and apply expansive mortar ,,"40,000"
948,Kalaldora canal,Leaks in the canal and overflow,7.1515896,80.391162,"Demolish and reconstruct   125mm thick  , 0.4m  wide  and 0.5m high and 100m long canal with grade 25 concrete  -single banking",,"690,000"
948,Kalaldora canal,Leaks in the canal and overflow,7.1516422,80.391261,"Demolish and reconstruct   125mm thick  , 0.4m  wide  and 0.5m high and 100m long canal with grade 25 concrete  -single banking",,"690,000"
948,Kalaldora canal,Leaks in the canal and overflow,7.151457,80.391907,"Demolish and reconstruct   125mm thick  , 0.4m  wide  and 0.5m high and 100m long canal with grade 25 concrete  -single banking",,"690,000"
948,Bulathgamuwa canal,Concrete lining to be repaired,7.1515416,80.391548," Demolish and reconstruct   100mm thick  , 0.4m  wide  and 0.3m high and 100m long canal with grade 25 concrete  -single banking",,"500,000"
948,Bulathgamuwa canal,Concrete lining to be repaired,7.1513079,80.392072,"Demolish and reconstruct   100mm thick  , 0.4m  wide  and 0.3m high and 100m long canal with grade 25 concrete  -single banking",,"500,000"
948,Kahatagahamula canal,Retaining wall is required,7.4586,80.391359,Provide 15m long x2m high RCC retaining wall ,,"400,000"
948,Kahatagahamula canal,Canal leak/earth filling need,7.1150195,80.391377,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"87,000"
948,Kahatagahamula canal,Canal leak/earth filling need,7.154859,80.391363,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface",,"87,000"
948,Kahatagahamula canal,Canal leak/earth filling need,7.154557,80.391551,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"87,000"
948,Kahatagahamula canal,Canal leak/earth filling need,7.1510615,80.16613,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"87,000"
948,Thelabu pallewaththa ,Canal leak/earth filling need,7.145993,80.391158,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"87,000"
948,Thelabu pallewaththa ,Canal leak/earth filling need,7.154696,80.399054,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"87,000"
948,Thelabu pallewaththa ,Canal leak/earth filling need,7.155791,80.391212,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"87,000"
948,Thelabu pallewaththa ,Canal leak/earth filling need,7.157936,80.391295,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"87,000"
948,Ginithulawa canal,Canal leak/earth filling need,7.159686,80.397141,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"87,000"
948,Ginithulawa canal,Canal leak/earth filling need,7.159582,80.397435,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"87,000"
948,Ginithulawa canal,Canal leak/earth filling need,7.159908,80.398672,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"87,000"
948,Bogahagoda canal,Anicut leaks and unserviceable,7.157383,80.392859,Demolish and reconstruct the anicut,,"700,000"
948,Bogahagoda canal,Remove  rock obstacles,7.107505,80.403166,Manually drill 20-25 dia holes @300mm intervals and apply expansive mortar ,,"40,000"
948,Kikawula Canal,Canal leak/earth filling need,7.155398,80.39229,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"87,000"
948,Kikawula Canal,Canal leak/earth filling need,7.154477,80.393572,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"87,000"
948,Pihillewaththa canal,Need overhead pipe or conduit with drainage undercrossing,7.158559,80.392173,"Construct  125mm thick, 0.4m  wide  and 0.4m high and 50m long grade 25 RCC trough on piers",,"1,400,000"
950,Thalagolla Kekiriyawela canal,Canal damaged due to earth slip,7.25049,80.65404,"Construct  125mm thick, 0.4m  wide, and 0.4m high and 90m long concrete canal -double banking",,"1,210,000"
950,Thalagolla Kekiriyawela canal,Need re-construction of  decayed concrete lining,7.25156,80.65563,"Demolish and reconstruct   125mm thick, 0.4m  wide, and 0.5m high and 100m long canal with grade 25 concrete  -single banking",,"690,000"
950,Kekiriyawela anicut ,Need rehabilitation,7.25049,80.65404,Provide 100 mm thick grade 25 concrete curtain after chipping the weathered surface,,"450,000"
950,Iththagahalanda canal,canal earthwork and reservation are need,7.24833,80.6565,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"87,000"
950,Canal below the playground ,Drainage under crossing  is required,7.25109,80.65724,Construction of a garbage trap using 600mm dia concrete pipes and a  GI gabion box cage.,,"87,000"
953,Hommare canal,no reservation & seepage in  earthen bunds ,7.25954,80.65029,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 200 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"87,000"
955,Booge canal,No reservation boundary,7.1511323,80.374993,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"261,000"
955,Booge canal,Canal erosion near the anicut.,7.1511323,80.374993,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length of about 200 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Plant two rows of areca nut trees and mixed dense plantation of Mee, Kumbuk, Godapara, Kekuna, etc., for 5m wide and 10m long reservation areas.",,"174,000"
955,Gorakagahamadiththa ,Need   d/s retaining wall ,7.1512087,80.385496,Provide 15m-20m  long RCC retaining wall ,,"500,000"
955,Amba kumbura canal,Erosion of canal embankment ,7.1512024,80.384857,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"261,000"
955,Dungahamula canal,No reservation boundary,7.1511679,80.383524,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length of about 200 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface",,"174,000"
955,Dungahamula canal,Need drainage under crossing,7.1512173,80.384237,Construction of an undercrossing structure with a garbage trap using 600mm dia concrete pipes and a  GI gabion box cage.,,"106,000"
955,Dungahamula canal,Canal  seepage: debris trap need,7.151283,80.38422,Construction of a garbage trap using 600mm dia concrete pipes and a  GI gabion box cage.,,"53,000"
955,Dungahamula canal,Need drainage under crossing,7.151353,80.384238,"1. Earth filling of 3m wide and length about 50 m area.  
2. Construction of a garbage trap using 600mm dia concrete pipes and a  GI gabion box cage.",,"140,000"
962,Thibbotuwawe canal,weak L/B Embankment need earth fill,7.25195,80.66269,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface",,"87,000"
962,Thibbotuwawe canal,Siltation: Need silt ejector,7.2528,80.663,Construct a silt ejector with a downstream gate,,"200,000"
962,Thibbotuwawe canal,Canal leaks need concreting,7.25174,80.66687," Demolish and reconstruct a 100mm thick, 0.4m  wide  and 0.3m high and 100m long canal with grade 25 concrete  -single banking",,"500,000"
962,Thibbotuwawe canal,weak L/B Embankment need earth fill,7.25226,80.66536,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length of about 200 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"174,000"
962,Imbulhitiyawa canal,"weak L/B Embankment, need earth fill",7.159206,80.395204,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length of about 200 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface",,"174,000"
962,Imbulhitiyawa canal,"Canal damage due to overflow, need canal spill",7.15909,80.395914,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface",,"87,000"
962,Imbulhitiyawa canal,"weak L/B Embankment, need earth fill & retaining wall",7.157597,80.462057,,,"348,000"
964,Uuranheramula Anicut,No d/s  reservation of the canal.,7.24302,80.65507,"1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length of about 200 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"174,000"
964,Uuranheramula Anicut, damaged anicut planks,7.1423003,80.391057,Provide anicut planks,,"40,000"
964,Uuranheramulla canal,Leaks in the canal,7.2415,80.6545,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface",,"87,000"
964,Middle canal,No d/s  reservation of the canal.,7.1425664,80.391034,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length of about 200 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"174,000"
964,Feeder Canal,Leaks in the canal,7.1422259,80.359483,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length of about 200 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface",,"174,000"
,Total ,,,,,,18054700
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
