ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Description,Download,geojson,Year,Title,Abstract,Data Type,Keywords,Geographic Extent,Scale,Temporal Coverage,Publication Date,Version,Data Provider,Contact Name,Email Address,Phone Number,Address,Data Source,Accuracy,Limitations,Resolution,Coordinate System,Datum,Vertical Datum,Access Constraints,Use Constraints,Data Format,File Size,Download Link,Process Steps,Metadata Creator,Metadata Date,Metadata Standard,Related Publications,Supplementary Info
11,UMW,Raster,Topography,DEM,,IWMI-IWWRMP,Derive,Yes,Raster,,,,2024,,,Raster,,"North: 552444.783520 m, South: 474066.163889 m , East: 527406.707348 m, West: 464934.673482 m",,,,,International Water Management Institute - Integrated Watershed and Water Resource Management Project,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
12,UMW,Raster,Topography,Slope,,IWMI-IWWRMP,Derive,Yes,Raster,,,,2024,,,Raster,,"North: 552444.783520 m, South: 474066.163889 m , East: 527406.707348 m, West: 464934.673482 m",,,,,International Water Management Institute - Integrated Watershed and Water Resource Management Project,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
13,MWS-007-1,Base,Soil,Soil type,,NRMC,Raw,Yes,Vector,,,,2010,Distribution of different soil types,Dataset represents distribution of different soil classes within the Upper Mahaweli Watershed,Vector,"Soil, Sri Lanka","North: 528646.495237 m, South: 522884.706137 m , East: 498366.557573 m, West: 492414.038173 m",1:10000,2010,2010,Version 1.0,Natural Resource Management Center,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
14,MWS-007-1,Base,Soil,Agro-ecological zone,,NRMC,Raw,Yes,Vector,,,,2010,Agro-ecological zones,Dataset represents Agro-ecological zones within the Upper Mahaweli Watershed,Vector,"Agro-ecological zones, Sri Lanka","North: 528646.495237 m, South: 522884.706137 m , East: 498366.557573 m, West: 492414.038173 m",1:10000,2010,2010,Version 1.0,Natural Resource Management Center,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
15,MWS-007-1,Base,Risk and Hazard,Landslide hazard zone,,NBRO,Raw,Yes,Vector,,,,2020,Lanslide Hazard Zones,Dataset represents Landslide Hazard zones within the Upper Mahaweli Watershed,Vector,"Landslides, Sri Lanka","North: 528646.495237 m, South: 522884.706137 m , East: 498366.557573 m, West: 492414.038173 m",,2020,2020,,National Building Research Organization,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
16,MWS-007-1,Base,Risk and Hazard,Flood,,DMC,Raw,Yes,Vector,,,,,Flood Hazard Zones ,Dataset represents Flood Hazard zones within the Upper Mahaweli Watershed,Vector,"Floods, Sri Lanka","North: 528646.495237 m, South: 522884.706137 m , East: 498366.557573 m, West: 492414.038173 m",,,,,Department of Motor Traffic Control,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
17,MWS-007-1,Raster,Risk and Hazard,Forest Fire,,IWMI-IWWRMP,Derive,Yes,Vector,,,,2024,Forest Fire Hazard zones,Dataset represents Forest fire Hazard zones within the Upper Mahaweli Watershed,Vector,"Forest fires, Sri Lanka","North: 528646.495237 m, South: 522884.706137 m , East: 498366.557573 m, West: 492414.038173 m",,2024,2024,,International Water Management Institute - Integrated Watershed and Water Resource Management Project,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
18,UMW,Raster,Risk and Hazard,Soil erosion hazard,,IWMI-IWWRMP,Derive,Yes,Raster,,,,,Soil Erosion Hazard,Dataset represents Soil erosion Hazard zones within the Upper Mahaweli Watershed,Raster,"Soil erosion, Sri Lanka","North: 552444.783520 m, South: 474066.163889 m , East: 527406.707348 m, West: 464934.673482 m",,,,,International Water Management Institute - Integrated Watershed and Water Resource Management Project,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
19,UMW,Raster,Location ,Building density ,,IWMI-IWWRMP,Derive,Yes,Raster,,,,,Buiding Density,Dataset represents Building Density within the Upper Mahaweli Watershed,Raster,"Building density, Sri Lanka","North: 552444.783520 m, South: 474066.163889 m , East: 527406.707348 m, West: 464934.673482 m",,,,,International Water Management Institute - Integrated Watershed and Water Resource Management Project,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
20,MWS-007-1,Base,Demography,Population,,RP,Raw,Yes,Vector,,,,2023,Population statistics,Dataset represents Population statistics within the Upper Mahaweli Watershed,Vector,"Population, Demography, Sri Lanka","North: 528646.495237 m, South: 522884.706137 m , East: 498366.557573 m, West: 492414.038173 m",,2023,2023,,Department of Census and Statistics,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
21,MWS-007-1,Detail,Hydrology,Stream network,,IWMI-IWWRMP,Derive,Yes,Vector,,,,2024,Stream Network,Dataset represents Stream network within the Upper Mahaweli Watershed,Vector,"Streams, Sri Lanka","North: 528646.495237 m, South: 522884.706137 m , East: 498366.557573 m, West: 492414.038173 m",,2024,2024,,International Water Management Institute - Integrated Watershed and Water Resource Management Project,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
22,MWS-007-1,Detail,Hydrology,Mini watershed,,IWMI-IWWRMP,Derive,Yes,Vector,,,,2024,Derived Mini Watersheds,Dataset represents Watersheds derived for the Upper Mahaweli Watershed,Vector,"Watersheds, Sri Lanka","North: 528646.495237 m, South: 522884.706137 m , East: 498366.557573 m, West: 492414.038173 m",,2024,2024,,International Water Management Institute - Integrated Watershed and Water Resource Management Project,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
23,MWS-007-1,Detail,Location ,Building,,SD,Raw,Yes,Vector,,,,,Buildings and Builtup area,Dataset represents Building locations within the Upper Mahaweli Watershed,Vector,"Building density, Sri Lanka","North: 528646.495237 m, South: 522884.706137 m , East: 498366.557573 m, West: 492414.038173 m",,,,,Survey Department of Sri Lanka,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
24,MWS-007-1,Detail,Water features,Water features-point,,SD,Raw,Yes,Vector,,,,,Water features - point,Dataset represents point water features within the Upper Mahaweli Watershed,Vector,"Water features, Sri Lanka","North: 528646.495237 m, South: 522884.706137 m , East: 498366.557573 m, West: 492414.038173 m",,,,,Survey Department of Sri Lanka,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
25,MWS-007-1,Detail,Water features,Water features-line,,SD,Raw,Yes,Vector,,,,,Water features - line,Dataset represents linear water features within the Upper Mahaweli Watershed,Vector,"Water features, Sri Lanka","North: 528646.495237 m, South: 522884.706137 m , East: 498366.557573 m, West: 492414.038173 m",,,,,Survey Department of Sri Lanka,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
26,MWS-007-1,Detail,Water features,Water features-polygon,,SD,Raw,Yes,Vector,,,,,Water features - polygon,Dataset represents area water features within the Upper Mahaweli Watershed,Vector,"Water features, Sri Lanka","North: 528646.495237 m, South: 522884.706137 m , East: 498366.557573 m, West: 492414.038173 m",,,,,Survey Department of Sri Lanka,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
27,MWS-007-1,Detail,Transportation,Road,,SD,Raw,Yes,Vector,,,,,Transportation network,Dataset represents road network within the Upper Mahaweli Watershed,Vector,"Roads, Transportation, Sri Lanka","North: 528646.495237 m, South: 522884.706137 m , East: 498366.557573 m, West: 492414.038173 m",,,,,Survey Department of Sri Lanka,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
28,MWS-007-1,Detail,Location ,Places,,SD,Raw,Yes,Vector,,,,,Major places,"Dataset represents towns, villages, junctions and other major locations within the Upper Mahaweli Watershed",Vector,"Major places, Sri Lanka","North: 528646.495237 m, South: 522884.706137 m , East: 498366.557573 m, West: 492414.038173 m",,,,,Survey Department of Sri Lanka,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
29,MWS-007-1,Proposal,Soil and Water Conservation,Soil and water conservation,,IWMI-IWWRMP,Field,Yes,Vector,,,,2024,Soil and Water Conservation,Dataset represents Soil and Water Conservation within the Upper Mahaweli Watershed,Vector,"Location, Sri Lanka","North: 528646.495237 m, South: 522884.706137 m , East: 498366.557573 m, West: 492414.038173 m",,2024,2024,,International Water Management Institute - Integrated Watershed and Water Resource Management Project,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
30,MWS-007-1,Proposal,Water Resource Management,Domestic water supply and water source protection,,IWMI-IWWRMP,Field,Yes,Vector,,,,2024,Domestic Water Supply,Dataset represents Domestic water supply within the Upper Mahaweli Watershed,Vector,"Domestic water supply, Sri Lanka","North: 528646.495237 m, South: 522884.706137 m , East: 498366.557573 m, West: 492414.038173 m",,2024,2024,,International Water Management Institute - Integrated Watershed and Water Resource Management Project,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
31,MWS-007-1,Proposal,Water Resource Management,Minor irrigation related proposals,,IWMI-IWWRMP,Field,Yes,Vector,,,,2024,Minor Irrigation,Dataset represents minor irrigation within the Upper Mahaweli Watershed,Vector,"Minor irrigations, Sri Lanka","North: 528646.495237 m, South: 522884.706137 m , East: 498366.557573 m, West: 492414.038173 m",,2024,2024,,International Water Management Institute - Integrated Watershed and Water Resource Management Project,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
32,MWS-007-1,Proposal,Water Quality Improvement,Water quality improvement,,IWMI-IWWRMP,Field,Yes,Vector,,,,2024,Water Quality,Dataset represents Water quality within the Upper Mahaweli Watershed,Vector,"Water quality, Sri Lanka","North: 528646.495237 m, South: 522884.706137 m , East: 498366.557573 m, West: 492414.038173 m",,2024,2024,,International Water Management Institute - Integrated Watershed and Water Resource Management Project,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
33,MWS-007-1,Proposal,Stream Reservation,Stream Reservation,,IWMI-IWWRMP,Field,Yes,Vector,,,,2024,Stream Reservation,Dataset represents Stream reservation within the Upper Mahaweli Watershed,Vector,"Streams, Sri Lanka","North: 528646.495237 m, South: 522884.706137 m , East: 498366.557573 m, West: 492414.038173 m",,2024,2024,,International Water Management Institute - Integrated Watershed and Water Resource Management Project,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
34,MWS-007-1,Proposal,Soil and Water Conservation,Lanslides,,IWMI-IWWRMP,Field,Yes,Vector,,,,2024,Landslides,Dataset represents Landslide occurences within the Upper Mahaweli Watershed,Vector,"Landslides, Soil conservation, Water conservation","North: 528646.495237 m, South: 522884.706137 m , East: 498366.557573 m, West: 492414.038173 m",,2024,2024,,International Water Management Institute - Integrated Watershed and Water Resource Management Project,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
35,MWS-007-1,Proposal,Minor Tanks Restoration,Minor tanks,,IWMI-IWWRMP,Field,Yes,Vector,,,,2024,Minor tanks,Dataset represents Minor tank locations within the Upper Mahaweli Watershed,Vector,"Minor tanks, Sri Lanka","North: 528646.495237 m, South: 522884.706137 m , East: 498366.557573 m, West: 492414.038173 m",,2024,2024,,International Water Management Institute - Integrated Watershed and Water Resource Management Project,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
36,MWS-007-1,Proposal,Product and Entrepreneurships Developments,Pekoe Trail,,,Raw,Yes,Vector,,,,2024,Pekoe trail,Dataset represents the pekoe trail -  A major walking trail through the central highlands and nearby major locations within the Upper Mahaweli Watershed,Vector,"Pekoe trail, Product development, Entrepreneurship development, Sri Lanka","North: 528646.495237 m, South: 522884.706137 m , East: 498366.557573 m, West: 492414.038173 m",,2024,2024,,,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
37,MWS-007-1,Proposal,Product and Entrepreneurships Developments,Tourist attract places,,IWMI-IWWRMP,Field,Yes,Vector,,,,2024,Major Tourist attractions,Dataset represents tourist attractions within the Upper Mahaweli Watershed,Vector,"Tourism, Tourist attractions, Sri Lanka","North: 528646.495237 m, South: 522884.706137 m , East: 498366.557573 m, West: 492414.038173 m",,2024,2024,,International Water Management Institute - Integrated Watershed and Water Resource Management Project,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
38,MWS-007-1,Proposal,Product and Entrepreneurships Developments,Economic hubs,,IWMI-IWWRMP,Field,Yes,Vector,,,,2024,Proposed Economic hubs,Dataset represents locations of possible economic hubs within the Upper Mahaweli Watershed,Vector,"Economy, Economic hubs, Sri Lanka","North: 528646.495237 m, South: 522884.706137 m , East: 498366.557573 m, West: 492414.038173 m",,2024,2024,,International Water Management Institute - Integrated Watershed and Water Resource Management Project,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
39,UMW,Environmental Indicators,Station ,Rainfall,,MD,Raw,Yes,Vector,,,,,Rainfall - Raw data,Dataset represents rainfall data for each station within the Upper Mahaweli Watershed,Vector,"Rainfall, Sri Lanka","North: 552444.783520 m, South: 474066.163889 m , East: 527406.707348 m, West: 464934.673482 m",,2022,2023,Version 1.0,Department of Meteorology,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
40,UMW,Environmental Indicators,Station ,Temperature,,MD,Raw,Yes,Vector,,,,,Temperature - Raw data,Dataset represents temperature data for each station within the Upper Mahaweli Watershed,Vector,"Temperature, Sri Lanka","North: 552444.783520 m, South: 474066.163889 m , East: 527406.707348 m, West: 464934.673482 m",,2022,2023,Version 1.0,Department of Meteorology,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
41,UMW,Environmental Indicators,Station ,Evaporation,,MD,Raw,Yes,Vector,,,,,Evaporation - Raw data,Dataset represents evaporation data for each station within the Upper Mahaweli Watershed,Vector,"Evaporation, Sri Lanka","North: 552444.783520 m, South: 474066.163889 m , East: 527406.707348 m, West: 464934.673482 m",,2022,2023,Version 1.0,Department of Meteorology,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
42,UMW,Environmental Indicators,Station ,Water Quality,,CEA,Raw,Yes,Vector,,,,,Water Quality - Raw data,Dataset representswater quality data for several locations within the Upper Mahaweli Watershed,Vector,"Water quality, Sri Lanka","North: 552444.783520 m, South: 474066.163889 m , East: 527406.707348 m, West: 464934.673482 m",,2022,2023,Version 1.0,Central Environment Authority,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
43,UMW,Environmental Indicators,Rainfall,Annual Rainfall,,IWMI-IWWRMP,Derive,Yes,Raster,,,,,Annual Rainfall,Dataset represents annual rainfall data derived for each station within the Upper Mahaweli Watershed,Raster,"Annual Rainfall, Sri Lanka","North: 552444.783520 m, South: 474066.163889 m , East: 527406.707348 m, West: 464934.673482 m",,,,,International Water Management Institute - Integrated Watershed and Water Resource Management Project,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,PNG,,,,,,,,
44,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - Jan,,IWMI-IWWRMP,Derive,Yes,Raster,,,,,Monthly rainfall - January,Dataset represents monthly rainfall derived for the Upper Mahaweli Watershed,Raster,"Monthly Rainfall, Sri Lanka","North: 552444.783520 m, South: 474066.163889 m , East: 527406.707348 m, West: 464934.673482 m",,,,,International Water Management Institute - Integrated Watershed and Water Resource Management Project,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,PNG,,,,,,,,
45,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - Feb,,IWMI-IWWRMP,Derive,Yes,Raster,,,,,Monthly rainfall - February,Dataset represents monthly rainfall derived for the Upper Mahaweli Watershed,Raster,"Monthly Rainfall, Sri Lanka","North: 552444.783520 m, South: 474066.163889 m , East: 527406.707348 m, West: 464934.673482 m",,,,,International Water Management Institute - Integrated Watershed and Water Resource Management Project,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,PNG,,,,,,,,
46,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - Mar,,IWMI-IWWRMP,Derive,Yes,Raster,,,,,Monthly rainfall - March,Dataset represents monthly rainfall derived for the Upper Mahaweli Watershed,Raster,"Monthly Rainfall, Sri Lanka","North: 552444.783520 m, South: 474066.163889 m , East: 527406.707348 m, West: 464934.673482 m",,,,,International Water Management Institute - Integrated Watershed and Water Resource Management Project,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,PNG,,,,,,,,
47,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - Apr,,IWMI-IWWRMP,Derive,Yes,Raster,,,,,Monthly rainfall - April,Dataset represents monthly rainfall derived for the Upper Mahaweli Watershed,Raster,"Monthly Rainfall, Sri Lanka","North: 552444.783520 m, South: 474066.163889 m , East: 527406.707348 m, West: 464934.673482 m",,,,,International Water Management Institute - Integrated Watershed and Water Resource Management Project,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,PNG,,,,,,,,
48,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - May,,IWMI-IWWRMP,Derive,Yes,Raster,,,,,Monthly rainfall - May,Dataset represents monthly rainfall derived for the Upper Mahaweli Watershed,Raster,"Monthly Rainfall, Sri Lanka","North: 552444.783520 m, South: 474066.163889 m , East: 527406.707348 m, West: 464934.673482 m",,,,,International Water Management Institute - Integrated Watershed and Water Resource Management Project,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,PNG,,,,,,,,
49,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - Jun,,IWMI-IWWRMP,Derive,Yes,Raster,,,,,Monthly rainfall - June,Dataset represents monthly rainfall derived for the Upper Mahaweli Watershed,Raster,"Monthly Rainfall, Sri Lanka","North: 552444.783520 m, South: 474066.163889 m , East: 527406.707348 m, West: 464934.673482 m",,,,,International Water Management Institute - Integrated Watershed and Water Resource Management Project,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,PNG,,,,,,,,
50,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - Jul,,IWMI-IWWRMP,Derive,Yes,Raster,,,,,Monthly rainfall - July,Dataset represents monthly rainfall derived for the Upper Mahaweli Watershed,Raster,"Monthly Rainfall, Sri Lanka","North: 552444.783520 m, South: 474066.163889 m , East: 527406.707348 m, West: 464934.673482 m",,,,,International Water Management Institute - Integrated Watershed and Water Resource Management Project,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,PNG,,,,,,,,
51,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - Aug,,IWMI-IWWRMP,Derive,Yes,Raster,,,,,Monthly rainfall - August,Dataset represents monthly rainfall derived for the Upper Mahaweli Watershed,Raster,"Monthly Rainfall, Sri Lanka","North: 552444.783520 m, South: 474066.163889 m , East: 527406.707348 m, West: 464934.673482 m",,,,,International Water Management Institute - Integrated Watershed and Water Resource Management Project,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,PNG,,,,,,,,
52,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - Sep,,IWMI-IWWRMP,Derive,Yes,Raster,,,,,Monthly rainfall - September,Dataset represents monthly rainfall derived for the Upper Mahaweli Watershed,Raster,"Monthly Rainfall, Sri Lanka","North: 552444.783520 m, South: 474066.163889 m , East: 527406.707348 m, West: 464934.673482 m",,,,,International Water Management Institute - Integrated Watershed and Water Resource Management Project,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,PNG,,,,,,,,
53,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - Oct,,IWMI-IWWRMP,Derive,Yes,Raster,,,,,Monthly rainfall - October,Dataset represents monthly rainfall derived for the Upper Mahaweli Watershed,Raster,"Monthly Rainfall, Sri Lanka","North: 552444.783520 m, South: 474066.163889 m , East: 527406.707348 m, West: 464934.673482 m",,,,,International Water Management Institute - Integrated Watershed and Water Resource Management Project,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,PNG,,,,,,,,
54,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - Nov,,IWMI-IWWRMP,Derive,Yes,Raster,,,,,Monthly rainfall - Novermber,Dataset represents monthly rainfall derived for the Upper Mahaweli Watershed,Raster,"Monthly Rainfall, Sri Lanka","North: 552444.783520 m, South: 474066.163889 m , East: 527406.707348 m, West: 464934.673482 m",,,,,International Water Management Institute - Integrated Watershed and Water Resource Management Project,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,PNG,,,,,,,,
55,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - Dec,,IWMI-IWWRMP,Derive,Yes,Raster,,,,,Monthly rainfall - December,Dataset represents monthly rainfall derived for the Upper Mahaweli Watershed,Raster,"Monthly Rainfall, Sri Lanka","North: 552444.783520 m, South: 474066.163889 m , East: 527406.707348 m, West: 464934.673482 m",,,,,International Water Management Institute - Integrated Watershed and Water Resource Management Project,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,PNG,,,,,,,,
