ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Discription,Download,geojson,Year,Title,Abstract,Data Type,Keywords,Geographic Extent,Scale,Temporal Coverage,Publication Date,Version,Data Provider,Contact Name,Email Address,Phone Number,Address,Data Source,Accuracy,Limitations,Resolution,Coordinate System,Datum,Vertical Datum,Access Constraints,Use Constraints,Data Format,File Size,Download Link,Process Steps,Metadata Creator,Metadata Date,Metadata Standard,Related Publications,Supplementary Info
22,MWS-004-2,Detail Layers,Hydrology,Mini watershed,,IWMI-IWWRMP,Derive,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/UMW/MWS_Boundary_Updated_UMC_Names.geojson,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,MWS-004-2,Detail Layers,Location ,Building,,SD,Raw,Yes,Vector,,google drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,MWS-004-2,Detail Layers,Water features,Water features-point,,SD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/02_HYD/Hydro_Pt/HY_Hydro_Pt_MWS_004_2.geojson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,MWS-004-2,Detail Layers,Water features,Water features-line,,SD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/02_HYD/Hydro_Li/HY_Hydro_Li_MWS_004_2.geojson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,MWS-004-2,Detail Layers,Water features,Water features-polygon,,SD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/02_HYD/Hydro_Pg/HY_Hydro_Pg_MWS_004_2.geojson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,MWS-004-2,Detail Layers,Transpotation,Road,,SD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/08_TRP/TR_Transport/TR_Transport_Pt_MWS_004_2.geojson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,MWS-004-2,Detail Layers,Location ,Places,,SD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/09_PLC/CA_Toponym/CA_Toponym_Pt_MWS_004_2.geojson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,MWS-004-2,Proposal Layers,Soil and Water Conservation,Soil and water conservation,,IWMI-IWWRMP,Field,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_004_2/Table 6_1.geojson,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,MWS-004-2,Proposal Layers,Water Resource Management,Domestic water supply and water source protection,,IWMI-IWWRMP,Field,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_004_2/Table 6_12.geojson,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,MWS-004-2,Proposal Layers,Water Resource Management,Minor irrigation related proposals,,IWMI-IWWRMP,Field,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_004_2/Table 6_13.geojson,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,MWS-004-2,Proposal Layers,Water Quality Improvement,Water quality improvement,,IWMI-IWWRMP,Field,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_004_2/Table 6_14.geojson,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,MWS-004-2,Proposal Layers,Stream Reservation,Stream Reservation,,IWMI-IWWRMP,Field,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_004_2/Table 6_18.geojson,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,MWS-004-2,Proposal Layers,Soil and Water Conservation,Lanslides,,IWMI-IWWRMP,Field,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_004_2/Table 6_2.geojson,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,MWS-004-2,Proposal Layers,Minor Tanks Restoration,Minor tanks,,IWMI-IWWRMP,Field,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_004_2/Table 6_3.geojson,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,MWS-004-2,Proposal Layers,Product and Entrepreneurships Developments,Pecoe Trail,,,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/UMW/PekoeTrail_Li.geojson,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,MWS-004-2,Proposal Layers,Product and Entrepreneurships Developments,Tourist attract places,,IWMI-IWWRMP,Field,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/UMW/Tourism_Places.geojson,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,MWS-004-2,Proposal Layers,Product and Entrepreneurships Developments,Economic hubs,,IWMI-IWWRMP,Field,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/UMW/Economic_Hubs.geojson,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,UMW,Environmental Indicators,Station,Rainfall,,MD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/10_MET/RF_St/MET_RF_St.geojson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,UMW,Environmental Indicators,Station,Temporature,,MD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/10_MET/Temp/MET_Temp_St.geojson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,UMW,Environmental Indicators,Station,Evoporation,,MD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/10_MET/EV_St/MET_EV_St.geojson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,UMW,Environmental Indicators,Station ,Water Quality,,CEA,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/12_WQ/Level%202/pH.geojson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,UMW,Environmental Indicators,Rainfall,Annual Rainfall,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_sum.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - Jan,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - Feb,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - Mar,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - Apr,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - May,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - Jun,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - Jul,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_7.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - Aug,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_8.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - Sep,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_9.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - Oct,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_10.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - Nov,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_11.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - Dec,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_12.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,UMW,Environmental Indicators,Temporature - Max,Monthly  Temporature - Max- Jan,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,UMW,Environmental Indicators,Temporature - Max,Monthly  Temporature - Max- Feb,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,UMW,Environmental Indicators,Temporature - Max,Monthly  Temporature - Max- Mar,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,UMW,Environmental Indicators,Temporature - Max,Monthly  Temporature - Max- Apr,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,UMW,Environmental Indicators,Temporature - Max,Monthly  Temporature - Max- May,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,UMW,Environmental Indicators,Temporature - Max,Monthly  Temporature - Max- Jun,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,UMW,Environmental Indicators,Temporature - Max,Monthly  Temporature - Max- Jul,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_7.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,UMW,Environmental Indicators,Temporature - Max,Monthly  Temporature - Max- Aug,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_8.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,UMW,Environmental Indicators,Temporature - Max,Monthly  Temporature - Max- Sep,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_9.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,UMW,Environmental Indicators,Temporature - Max,Monthly  Temporature - Max- Oct,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_10.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,UMW,Environmental Indicators,Temporature - Max,Monthly  Temporature - Max- Nov,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_11.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,UMW,Environmental Indicators,Temporature - Max,Monthly  Temporature - Max- Dec,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_12.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,UMW,Environmental Indicators,Temporature - Min,Monthly  Temporature - Min- Jan,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,UMW,Environmental Indicators,Temporature - Min,Monthly  Temporature - Min- Feb,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,UMW,Environmental Indicators,Temporature - Min,Monthly  Temporature - Min- Mar,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,UMW,Environmental Indicators,Temporature - Min,Monthly  Temporature - Min- Apr,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,UMW,Environmental Indicators,Temporature - Min,Monthly  Temporature - Min- May,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,UMW,Environmental Indicators,Temporature - Min,Monthly  Temporature - Min- Jun,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,UMW,Environmental Indicators,Temporature - Min,Monthly  Temporature - Min- Jul,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_7.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,UMW,Environmental Indicators,Temporature - Min,Monthly  Temporature - Min- Aug,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_8.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,UMW,Environmental Indicators,Temporature - Min,Monthly  Temporature - Min- Sep,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_9.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,UMW,Environmental Indicators,Temporature - Min,Monthly  Temporature - Min- Oct,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_10.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,UMW,Environmental Indicators,Temporature - Min,Monthly  Temporature - Min- Nov,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_11.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,UMW,Environmental Indicators,Temporature - Min,Monthly  Temporature - Min- Dec,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_12.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,UMW,Environmental Indicators,Evoporation,Monthly evoporation - Jan,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/EP_1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,UMW,Environmental Indicators,Evoporation,Monthly evoporation - Feb,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/EP_2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,UMW,Environmental Indicators,Evoporation,Monthly evoporation - Mar,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/EP_3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,UMW,Environmental Indicators,Evoporation,Monthly evoporation - Apr,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/EP_4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,UMW,Environmental Indicators,Evoporation,Monthly evoporation - May,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/EP_5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,UMW,Environmental Indicators,Evoporation,Monthly evoporation - Jun,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/EP_6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,UMW,Environmental Indicators,Evoporation,Monthly evoporation - Jul,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/EP_7.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
