Table 6?23: Cost estimate of minor irrigation-related proposals with locations,,,,,
GND No.,Scheme,Problem to be addressed /Recommendations,N,E,Estimated Cost
991,Wagale ela 1, Seepage at D/S. Recommend 200m long areca+vegetation +Vetiver combination on reservation filling for 1.5m width. ,7.20653,80.70985,"156,000"
991,Wagale ela 2, Seepage at D/S. Recommend 300m long areca+vegetation +Vetiver combination on reservation filling for 1.5m width. ,7.23741,80.71144,"234,000"
991,Wagale ela 3, Seepage at D/S. Recommend 200m long areca+vegetation on reservation filling for 1.5m width. ,7.23875,80.71149,"156,000"
991,Meda ela, Seepage at D/S. Recommend 400m long areca+vegetation +Vetiver combination on reservation filling for 1.5m width. ,7.23868,80.7115,"312,000"
991,Delikadawatha ela, Seepage at D/S. Recommend 300m long areca+vegetation+Vetiver combination on reservation filling for 1.5m width. ,7.23897,80.71388,"234,000"
991,Delikadawatha ela 1, Seepage at D/S. Recommend 150m long areca+vegetation +Vetiver combination on reservation filling for 1.5m width. ,7.23905,80.71373,"117,000"
991,Kiwul Linda welyaye ela, Seepage at D/S. Recommend 800m long areca+vegetation +Vetiver combination on reservation filling for 1.5m width. Also concrete lining for road side 1bout 100m ,7.23938,80.717527,"1,245,500"
,,,7.23945,80.718778,
992,Rathipela anicut, Spilling over wing walls. Anicut wing walls need raising by 600mm ,7.239775,80.7165,"255,600"
992,Thotanuwara anicut, No anicut openings. Need to cut and provide openings and planks. ,7.239627,80.714645,"50,000"
992,Thotanuwara canal," Seepage at D/S of earthen canal.  Recommend 50m long ,500mmX400mm L concrete lining with eco-friendly edible vegetation on reservation filling for 1m width. ",7.239372,80.715907,"353,590"
992,Malaliyadda ela, Seepage at D/S of earthen canal.  Recommend 100m long 400mmX400mm concrete channel lining with eco-friendly edible vegetation on reservation filling for 1.5m width. ,7.236508,80.708628,"1,158,680"
993,Pahala kalaliye ela, Seepage at D/S of earthen canal.  Recommend 100m long 400mmX400mm concrete channel lining with eco-friendly edible vegetation on reservation filling for 1.5m width. ,7.23162,80.713982,"1,158,680"
993,Abadanda ela, Seepage at D/S of earthen canal.  Recommend 150m long 400mmX400mm concrete channel lining with eco-friendly edible vegetation on reservation filling for 1.5m width. ,7.234672,80.706748,"1,738,020"
993, Dulmura mulla anicut and canal, No proper anicut structure and canal. Recommend 200m long 400mmX400mm concrete channel lining with eco-friendly edible vegetation on reservation filling for 1.5m width. Also 700mm high 8m long anicut structure is need. ,7.233903,80.703882,"1,845,180"
993, Thalmuka Aswedduma ela, Seepage at D/S of earthen canal.  Recommend 150m long 400mmX400mm concrete channel lining with eco-friendly edible vegetation on reservation filling for 1.5m width. ,7.23374,80.706695,"1,695,180"
993,Uda happagiriya ela, Seepage at D/S of 200m long earthen canal.  Recommend 150m long 400mmX400mm concrete channel lining with eco-friendly edible vegetation on reservation filling for 1.5m width. ,7.23405,80.707845,"1,695,180"
993,Waduwaawa ela, Seepage at D/S of 500m earthen canal.  Recommend200m long 400mmX400mm concrete channel lining with 400m eco-friendly edible vegetation on reservation filling for 1.5m width. ,7.232978,80.707655,"2,488,720"
993,Hodupollan anicut and canal, Seepage at D/S of 300m earthen canal.  Recommend 150m long 400mmX400mm concrete channel lining with eco-friendly edible vegetation on reservation filling for 1.5m width. ,7.232445,80.713813,"1,695,180"
993,Ihala kalalge anicut and canal, Seepage at D/S of 400m earthen canal.  Recommend 200m long 400mmX400mm concrete channel lining with 400m eco-friendly edible vegetation on reservation filling for 1.5m width. ,7.230933,80.713932,"2,488,720"
993,Aspita wedduma anicut and canal, Seepage at D/S of 500m earthen canal.  Recommend200m long 400mmX400mm concrete channel lining with eco-friendly edible vegetation on reservation filling for 1.5m width. ,7.229632,80.71167,"2,574,400"
,,,7.230311,80.713447,
993,Pansale kubura anicut, Anicut wall is damaged. Need 3m longx800mm high X250mm thick concrete wall for rehabilitation ,7.22335,80.70765,"77,700"
995,Pansale ela, Severe D/S canal erosion about 50m. Suggest using 110mm dia GI pipe on 2m high concrete pillars as an overhead pipe. ,7.22383,80.70777,"372,000"
995,Uduwagala ela, Highly sediment and debris deposited in 600m long canal. Need farmers to desilt seasonally. Recommend earthfill and ecofriendly edible vegetation on reservation slope. ,7.22482,80.7084,"564,080"
995,Epitagaha ela, D/S canal seepage and damages at water delivery points. Recommends constructing 12 nos farm turnouts with wooden gates. Also Recommend 400m earthfill and eco-friendly edible vegetation on reservation slope. ,7.22857,80.70903,"438,720"
995,Gedarakubura ela, D/S canal seepage and damages at water delivery points. Recommends to construct 16nos farm turnouts with wooden gates. Also Recommend500m earthfill and eco-friendly edible vegetation on reservation slope. ,7.22857,80.70874,"556,400"
995,Mogasmulla kubura ela, Leaks and cracks in anicut structure and canal of 20m length. Need concrete canal lining and curtain wall for the anicut ,7.22905,80.70955,"323,750"
995,Siyabalagahakubura ela, Canal seepage and leaks. Need 6m long canal lining and earthfill for 10m length ,7.22594,80.71768,"98,652"
995,Kolla kubura ela, Seepage at D/S of 50m earthen canal.  Recommend50m long 300mmX300mm concrete channel lining with eco-friendly edible vegetation on reservation filling for 1.5m width. ,7.227,80.72031,"266,965"
995,Dhodamgasmulla ela, Leak through concrete lining. Needs curtain wall for 4m length ,7.21477,80.70977,"13,400"
996,Gamgoda welyaya ela 1, No proper anicut structure and canal. Recommend 20m long 400mmX400mm concrete channel lining with eco-friendly edible vegetation on 70m long reservation filling for 1.5m width. Also 700mm high 3m long anicut structure is need. ,7.214963/7.21504,80.706857/80.706792,"340,280"
996,Gamgoda welyaya ela 2, No proper anicut structure and canal. Recommend 20m long 400mmX400mm concrete channel lining with eco-friendly edible vegetation on 120m long reservation filling for 1.5m width. Also 700mm high 3m long anicut structure is need. ,7.215155/7.215195,80.7072/80.707225,"357,416"
996,Gamgoda welyaya ela 3, No proper anicut structure and canal. Recommend 20m long 400mmX400mm concrete channel lining with eco-friendly edible vegetation on 50m long reservation filling for 1.5m width. Also 700mm high 2.5m long anicut structure is need. ,7.21557,80.70777,"287,440"
996,Olugasmulla ela, Seepage at D/S of 250m earthen canal.  Recommend100m long 400mmX400mm concrete channel lining with eco-friendly edible vegetation on 250m long reservation filling for 1.5m width. ,7.22086,80.70558,"1,291,484"
996,Bulugasmulla ela, No proper anicut structure and canal. Recommend 20m long 400mmX400mm concrete channel lining with eco-friendly edible vegetation on 50m long reservation filling for 1.5m width. Also 700mm high 2.5m long anicut structure is need. ,7.22086,80.70558,"287,440"
996,Gedarawela ela, Seepage at D/S of 800m earthen canal.  Recommend 100m long 400mmX400mm concrete channel lining with 500m eco-friendly edible vegetation on reservation filling for 1.5m width. ,7.21944,80.713395,"1,501,400"
997,Mahakumbura ela, Seepage at D/S of 900m earthen canal.  Recommend 200m long 300mmX400mm concrete channel lining ,7.217206,80.710774,"896,500"
997,Maha medagama ela, Erosion of both sides of lands. Need single row or areca +betel vegetation for 200 m length ,7.215192,80.710176,"94,000"
997,Kapugaha Devala ela, Seepage at D/S of200m earthen canal.  Recommend 100m long 300mmX400mm concrete channel lining ,7.225239,80.719164,"448,250"
997,Ellenpallayaya ela, Seepage at D/S of500m earthen canal.  Recommend 200m long 300mmX400mm concrete channel lining ,7.224338,80.718157,"896,500"
997,Wakkumbura ela, Seepage at D/S of250m earthen canal.  Recommend 100m long 300mmX400mm concrete channel lining ,7.225022,80.717456,"448,250"
997,Edirimulla ela, Seepage at D/S of850m earthen canal.  Recommend 300m long 300mmX400mm concrete channel lining ,7.223263,80.716277,"1,344,750"
997,Ellen udayaya ela, Siltation and Seepage at D/S of 500 m earthen canal. recommend 250m long 300 mmX400 mm concrete channel lining. Farmers need to attend periodic desilting. ,7.222138,80.71573,"1,120,625"
997,Undiya Kumbura ela, Water penetrating from the anicut bottom needs concrete sealing of about 8mX2mX100mm ,7.23079,80.72437,"74,000"
999,Deliwqala waraketiya anicut, There are no planks for anicut opening. Cracks in the retaining wall. We need to provide a curtain wall 10m long and 300 mm high. ,7.22848,80.72248,"35,000"
999,Mahakumbura wela ela, Seepage at D/S of 1.5 km long earthen canal.  Recommend 1500m earth fill and eco-friendly edible vegetation on the reservation slope. ,7.22902,80.72286,"1,285,200"
999,Deliwala wanagawe ela,Seepage at D/S of 1 km long earthen canal.  Recommend 1km long earthfill and eco-friendly edible vegetation on the reservation slope. ,7.23021,80.7245,"856,800"
999,Kumburuyaya ela,Seepage at D/S of 300m long earthen canal.  I recommend 300m long earth fill and eco-friendly edible vegetation on the reservation slope. ,7.23182,80.72596,"257,040"
999,Ihala aswedduma anicut,Dilapidated anicut structure and inlet canal. Need 4mx1.5m high anicut and 10mX2m high retaining wall. ,7.22274,80.73184,"273,600"
,Total cost ,,,LKR,"66,439,266"
